© 2000-2020 QIAGEN. All rights reserved.

Analysis Details for My Projects->igor_misc->ndr_vs_wt_all - 2020-11-20 05:39 PM
Workspace	My Projects
Project	igor_misc
Analysis	ndr_vs_wt_all - 2020-11-20 05:39 PM
Date	Fri Nov 20 08:39:11 PST 2020
Analysis ID	22292172

Analysis Settings
Cutoff before duplicate resolution	true
Resolve duplicate on	Expression logfoldchange
Color using	Expression logfoldchange
Cutoff for Expression logfoldchange	--
Cutoff for Expression pvalue	0.05
Reference set	Ingenuity Knowledge Base (Genes Only)
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	Yes
Optional Analyses	My Pathways My List
Filter Summary	
Consider only molecules and/or relationships where
(species = Mouse) AND
(confidence = Experimentally Observed) AND
(mol. types = biologic drug OR canonical pathway OR chemical - endogenous mammalian OR chemical - endogenous non-mammalian OR chemical - kinase inhibitor OR chemical - other OR chemical - protease inhibitor OR chemical drug OR chemical reagent OR chemical toxicant OR complex OR cytokine OR disease OR enzyme OR function OR fusion gene/product OR G-protein coupled receptor OR group OR growth factor OR ion channel OR kinase OR ligand-dependent nuclear receptor OR mature microRNA OR microRNA OR other OR peptidase OR phosphatase OR transcription regulator OR translation regulator OR transmembrane receptor OR transporter)

Canonical Pathways for My Projects->igor_misc->ndr_vs_wt_all - 2020-11-20 05:39 PM
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
Organ Morphology, Organismal Development, Organismal Injury and Abnormalities, Renal and Urological Disease, Renal and Urological System Development and Function	abnormal morphology	Abnormal morphology of kidney	2.19E-07	 	 	 	 	PKHD1,TK1,CLDN7,Mt1,LGMN,TNFRSF1A,SALL4,SLIT3,LIN7C,GLA,NEK8,HP,GHR,HSD11B1,ZFP36,Cdkn1c,ESR1,ABCA7,ASB4,HSD17B2,EGFR,EHD3,DAPK1,MAS1,SLC2A9,CLU,STAT6,CLEC6A,SERPINE1,XYLT2,APRT,ITGA3,CCR1,DDR1,HSPA4L,ACE,LEPR,WT1,ESRRG,FGFRL1,GCNT1,ARHGDIA,DCN,PCCA,BCAM,EHD4,LAMB2,CTBS,DYNC2LI1,GDF15,ABCA1,HMOX1,SYNPO,GSTZ1,NOS2,MMUT,CEBPB,CTNNBIP1,ICAM1,RARB	60	
Tissue Development	growth	Growth of epithelial tissue	2.36E-07	 	1.334	 	0.875	DUSP10,IFT57,Mt1,ERBB4,TNFRSF1A,PPARA,LIMS2,HTRA1,CARD9,NFKBIA,ANGPTL4,ATF3,ALOX5,IRF6,FOS,STING1,IL1RN,JUND,RELB,MAP3K8,NGF,TNFRSF11A,PTGIR,ESR1,LRG1,SLC7A5,EGFR,FABP4,IL1B,IFT122,CDC25A,FPR2,Nrg1,CLDN15,LCN2,IGF1,PROK1,AHR,CXCR2,NUPR1,ADM,SERPINE1,TNFRSF12A,CXCL3,FST,BAX,NLRP6,IL36G,TNFAIP8,THRB,JUNB,JUN,CXCL12,FGF1,ITGA3,WNT5A,SOCS3,SULF2,MMP12,IL6R,SLC20A1,ABCB4,CAMP,LEPR,KLF4,LAMA5,SPRY4,VIM,STAT5A,P2RY2,TRAF4,STEAP4,LTBP4,CCR2,PAK1,CSF2RB,ITGA6,VIPR1,MFGE8,TERT,MARVELD3,CYP4F2,RALGDS,HEYL,IGFBP1,LTB4R,NGFR,TNFAIP3,AGAP2,PROK2,CEBPB,CTNNBIP1,GUCY2C	93	
Cellular Function and Maintenance	endocytosis	Endocytosis	2.41E-07	Increased	3.380	 	2.330	FCGR1A,FGR,FCER1G,ITGB2,SAA1,SNCA,RELB,CD300A,TYROBP,RGCC,TLR2,ABCA7,IL1B,CD14,CXCL10,FLNA,Cd24a,SPI1,Mbl1,LCN2,FCGR2A,ANXA1,GSN,CLEC6A,SERPINE1,FAS,SNX10,FLOT1,ITGAM,MAPKAPK3,HCK,PLSCR1,WNT5A,CSF2RA,PGLYRP1,SIRPB1,CAMP,LEPR,TREM2,RAC2,MYO1G,VIM,CAPG,LDLR,TREML2,MARCO,GSTP1,CLCN5,CCR2,CD5L,SREBF1,CSF2RB,ANXA5,ABCA1,ICOSLG/LOC102723996,PLAUR,S100A9,CAP1,MFGE8,PLAT,EGR1,LECT2,HMOX1,LTB4R,CEBPB,LGALS3,ICAM1	67	
Cancer, Organismal Injury and Abnormalities	cancer	Cancer of cells	2.60E-07	Increased	3.119	 	3.009	KRT8,GPT2,ERBB4,TNFRSF1A,LAMA3,NEDD9,RALGAPA2,JAK3,DPYSL4,ATF3,ALOX5,FOS,Ifi27l2a/Ifi27l2b,CXCR6,ADI1,SNAI2,ZFP36,Saa3,CYP1B1,TLR2,PCDH12,S1PR1,Neat1,DAPK1,TNFRSF21,LCN2,IGF1,NFKB2,GSN,CXCR2,STAT6,CLEC6A,CDKN2B,TNFRSF12A,BAX,STAT5B,FAS,CYBA,ENTPD1,CXCL12,WNT5A,HMGCR,RHOC,WT1,S100A4,EMB,LCP1,VIM,MGMT,BTG2,IER3,STAT5A,DCN,NTRK2,NT5E,UGDH,ARHGDIG,MAP4K4,S100A8,Clca3a1/Clca3a2,PAK1,CLEC4D,S100A9,PLAUR,BMF,EGR1,TERT,LIFR,WSB1,RIPK3,SMOC2,CA3,RORC,PLPP3,Ccl2,LMO1,Ccl6,UBD,HTRA1,NFKBIA,ANGPTL4,SKAP2,NCF2,SLC33A1,CAT,MAP3K8,FUT8,Cdkn1c,GPI,MPEG1,BACH2,PDCD4,EGFR,IL1B,CDC25A,SPI1,PIM1,FCGR2A,ANXA1,LTF,RBM38,CDCP1,SELP,RASSF1,MMP8,Raet1d/Raet1e,CXCL3,CYBB,FOXO3,THRB,ANXA7,ITGA3,PIK3R1,RAC2,KRT14,LAMA5,PLET1,SDC1,MRTFA,CCN4,Tpm1,BLNK,TRAF4,TAL1,CEBPD,CBR1,SLPI,ABCA1,CXCL2,HMOX1,FAM110D,NOS2,MCAM,LGALS3,COTL1,CAVIN2,DNMT3B	137	
Cardiovascular Disease, Organismal Injury and Abnormalities	formation	Formation of vascular lesion	2.61E-07	 	1.460	 	1.443	Ccl2,LOX,CX3CR1,MMP2,CCR1,MMP12,DDR1,NCF1,CCL3L3,NFKBIA,KLF4,ALOX5,LDLR,ADAMTS13,ZFP36,ESR1,TLR2,PON1,CXCL10,MPO,CXCL2,HMOX1,NOS2,LTB4R,AHR,TIMP1,SERPINE1,SERPIND1	28	
Cell-To-Cell Signaling and Interaction, Hematological System Development and Function, Immune Cell Trafficking, Inflammatory Response	activation	Activation of T lymphocytes	2.66E-07	 	0.612	 	0.202	ADA,Ccl2,NCF1,JAK3,VSIR,FCER1G,ITGB2,NFKBIA,SAA1,SLC33A1,RELB,MAP3K8,ANO6,FGL1,CD86,BACH2,EGFR,IL1B,LAPTM5,TARM1,Cd24a,HAVCR2,ANXA1,NFKB2,BAX,STAT5B,FAS,PGLYRP2,FOXO3,ITGAM,TNFAIP8L2,LGALS1,IL6R,IFNLR1,BCL3,IL15RA,IRAK3,CCDC88B,GFI1B,DCT,LDLR,DUSP1,STAT5A,MIF,CCR2,SPN,STAT4,MBP,TNFSF14,NR4A1,CSF2RB,ICOSLG/LOC102723996,HLA-A,MMP19,NLRP3,ICAM1,SUCNR1	57	
Dermatological Diseases and Conditions, Inflammatory Disease, Inflammatory Response, Organismal Injury and Abnormalities	dermatitis	Dermatitis	2.83E-07	 	-1.154	 	-0.806	CD300LF,TNFRSF1A,PGLYRP1,IFNLR1,BCL3,FCER1G,ITGB2,SELE,CAMP,NFKBIA,IDO2,AREG,LDLR,IL1RN,SLC33A1,C5AR1,RELB,ZFP36,CTSE,NFKBIZ,TLR2,PTGIR,EGFR,IL1B,MME,NR4A1,S100A9,SLPI,FCGR2A,SOD3,NOS2,LTB4R,AHR,NGFR,SELP,NLRP3,STAT6,TNIP1,ICAM1,RORC,PGLYRP2,FOXO3,JUNB	43	
Lipid Metabolism, Molecular Transport, Small Molecule Biochemistry	quantity	Quantity of polyunsaturated fatty acids	2.93E-07	Increased	2.247	 	1.779	Ccl2,ALOX5AP,KLKB1,CAMP,LEPR,CX3CL1,ALOX5,SNCA,LDLR,DUSP1,MAP3K8,GHR,LPAR3,PTGIR,CYP1B1,DGAT2,EGFR,HPGD,IL1B,FPR2,LIF,ELOVL5,CYP4F2,LCN2,ACSL4,NOS2,CYP1A2,P2RX4,ACOT2,MGLL	30	
Organismal Functions, Organismal Injury and Abnormalities, Tissue Morphology	healing	Healing of wound	3.04E-07	 	 	 	 	Ccl2,CELSR1,FGF1,Mt1,HPSE,TNFRSF1A,IL6R,SELL,PPARA,ITGB2,RAC2,VIL1,JDP2,AJUBA,SDC1,CX3CL1,ANKRD1,C5AR1,PER1,SLC11A1,Cmah,HBEGF,AEBP1,SLPI,EGR1,PLAT,NOS2,GSN,CXCR2,CCM2L,SERPINE1,FST,NLRP6,ICAM1	34	
Cell Death and Survival	cell death	Cell death of intestinal cells	3.11E-07	 	1.205	 	1.367	GSDMD,KRT8,EGFR,MAD2L2,TNFRSF1A,IGF1,ATF3,TNFRSF10A,FITM2,TNFAIP3,RIPK3,RNF186,PLS1,MAP3K8,TFF3,TNIP1,BAX,GUCY2C,FAS,CASP4,TNFAIP8	21	
Cardiovascular Disease, Cardiovascular System Development and Function, Organ Morphology, Organismal Development, Organismal Injury and Abnormalities	hypertrophy	Hypertrophy of heart	3.13E-07	 	 	 	 	ADA,Ccl2,APLNR,Hspa1b,TNFRSF1A,NCF1,DES,PRKAG2,ARRB2,GLA,ATF3,CMKLR1,HDC,PNPLA2,RGS2,CTSD,PTGIR,HBEGF,EGFR,CTF1,HSPB8,LIF,PIM1,IGF1,GPX3,AHR,RASSF1,GSN,ADM,SERPINE1,CDK5RAP1,CYBB,IKBKE,JUN,CXCL12,HCK,IL6R,FASN,PIK3R1,LEPR,FKBP1B,KLF4,MRTFA,DUSP1,IER3,Tpm1,HOPX,CPT2,PNKD,NT5E,SLC4A1,ABCA1,S100A6,MYH10,PLAT,HMOX1,TERT,NOS2,TNFAIP3,SLC2A4,TIMP1,GUCY2C,CSRP3,PDGFA,P2RY6	65	
Cell Signaling, Small Molecule Biochemistry	synthesis	Synthesis of nitric oxide	3.26E-07	 	0.285	 	-0.019	JUN,ITGAM,HCK,Hspa1b,CD300LF,Orm1 (includes others),SOCS3,TNFRSF1A,NCF1,PIK3R1,CAMP,NFKBIA,FKBP1B,GLA,SLC7A2,ALOX5,IL1RN,HDC,IGFBP3,SLC11A1,MIF,AGXT2,TLR2,CYP1B1,ESR1,S1PR1,STAT4,IL1B,CD14,NR4A1,LIF,NOS2,STAT6,ARG2,P2RX4,MMP8,ABCD2,ARL11,CYBB,CYBA	40	
Cell Death and Survival	survival	Cell survival	3.26E-07	Increased	2.579	 	1.124	Hspa1b,CX3CR1,ERBB4,TNFRSF1A,LAMA3,JAK3,PPARA,FCER1G,TNFRSF9,FOS,SNCA,SNAI2,TYROBP,GHR,GAMT,CD9,SLC11A1,Saa3,HBEGF,Nrg1,SLC1A2,LCN2,IGF1,STAT6,ELANE,ADM,BAX,STAT5B,FAS,YWHAZ,JUN,CXCL12,ITGAM,WNT5A,SOCS3,IRAK3,CX3CL1,MGMT,DUSP1,STAT5A,SLC6A8,STX1B,CEBPE,NTRK2,GSTP1,CCR2,SLC40A1,STAT4,MBP,PAK1,NR4A1,S100A9,EGR1,PLAT,HLA-A,RIPK3,PROK2,CEBPB,NFE2,PDGFA,RORC,B4GALT5,MVP,Mt1,CSF3R,GADD45B,NFKBIA,JDP2,LMNA,NCF2,ATG3,RELB,GSR,CAT,REV3L,NGF,CD86,ESR1,PDCD4,EGFR,CTF1,IL1B,CXCL10,HSPB8,LIF,IGFBP5,PIM1,PROK1,SELPLG,SERPINE1,CXCL3,CYBB,FOXO3,LINGO1,FGF1,ABCB4,BCL3,SELE,PIK3R1,SLC31A1,RAC2,LAMA5,HSF2,TSC22D3,MAPT,BLNK,TAL1,SPN,CEBPD,GDF15,CSF2RB,ICOSLG/LOC102723996,GPNMB,CXCL2,PDK4,GATA1,EPOR,NOS2,NGFR,TNFAIP3,LGALS3,ATXN1	122	
Cellular Movement	extravasation	Extravasation	3.30E-07	Increased	3.241	 	2.512	ITGAM,ALOX5AP,WNT5A,CCR1,SELL,ITGB2,CCL3L3,SELE,LILRB4,CD63,LDLR,HDC,TREM1,TLR2,CCR2,IL1B,ADAM8,TREM3,S100A9,TNFRSF21,MYO1F,LCN2,SELP,RIPK3,ICAM1	25	
Immunological Disease, Inflammatory Response	inflammatory response	Abnormal inflammatory response	3.51E-07	 	 	 	 	ITGAM,HCK,STAT4,TNFAIP8L2,MMP2,TNFRSF1A,IL6R,NCF1,SELL,FGR,IRAK3,ALOX5,NOS2,TNFAIP3,GCNT1,MMP8,ELANE,ICAM1,MIF,CLEC7A	20	
Connective Tissue Disorders, Inflammatory Disease, Inflammatory Response, Organismal Injury and Abnormalities, Skeletal and Muscular Disorders	experimentally-induced arthritis	Experimentally-induced arthritis	3.56E-07	 	1.218	 	0.986	ITGAM,HCK,MMP2,TNFRSF1A,FCGR1A,NQO2,BCL3,HTRA1,FGR,F13A1,IL1R2,SELE,NFKBIA,IL1RN,DUSP1,MAPT,SLC11A1,MIF,PTGIR,Saa3,TLR2,GPI,CCR2,STAT4,IL1B,FPR2,CXCL2,LECT2,HMOX1,FCGR2A,ANXA1,AHR,SELP,NAMPT,STAT6,FAS,FOXO3	37	
Cardiovascular System Development and Function, Organismal Development	angiogenesis	Angiogenesis	3.62E-07	Increased	3.140	 	2.162	ADA,LOX,CX3CR1,MMP2,TNFRSF1A,PTPRB,NCF1,SELL,SLIT3,PPARA,FGR,PKM,ITGB2,PLA2G7,ALOX5,Aldh1a7,RGS2,CD9,FES,FERMT3,CYP1B1,TLR2,LRG1,S1PR1,ANG,C6,LCN2,IGF1,AHR,GSN,CXCR2,ADM,TNFRSF12A,FAS,YWHAZ,JUNB,JUN,CXCL12,ITGAM,LGALS1,WNT5A,HPSE,SOCS3,ADM2,MEGF8,WT1,ROR1,KLF4,SPRY4,CX3CL1,VIM,TKT,CHI3L1,CBX2,STAT5A,ARHGDIA,IGFBP3,NTRK2,CCR2,SMPD3,NR4A1,LMO2,PLAUR,EGR1,PLAT,Ngp,LTB4R,RIPK3,PROK2,SMOC2,CYP51A1,FZD8,PROCR,PDGFA,RARB,PLPP3,Ccl2,APLNR,ECSCR,HTRA1,ANGPTL4,NFKBIA,LRP8,IL1RN,C5AR1,CAT,NGF,PTGIR,ESR1,ZMYND10,DHCR7,ASB4,EHD3,IL1B,FABP4,SVEP1,CXCL10,FLNA,ANXA2,LIF,ADAM15,OLR1,ANXA1,PROK1,SELP,MMP8,SERPINE1,KLF1,FOXO3,SERPIND1,TTR,HCK,GLUL,F2RL1,EMILIN1,DDR1,PIK3R1,RAC2,ARHGAP22,LAMA5,LDLR,HSD17B7,MAPT,IL18BP,EHD4,TAL1,G6PD,SGPL1,ADAM8,CSF2RB,SEMA3B,MFGE8,MYH10,CXCL2,CYP4F2,HMOX1,EPOR,NOS2,NGFR,LGALS3,TIMP1,ICAM1,ATXN1	143	
Cellular Compromise, Inflammatory Response	degranulation	Degranulation of cells	3.73E-07	 	1.566	 	1.204	STX11,ITGAM,HCK,STXBP2,CX3CR1,RASGRP4,TRIB3,FGR,EHF,FCER1G,ITGB2,CCL3L3,RAC2,ATF3,FOS,LILRB4,LPIN1,CD63,DUSP1,CD300A,STAT5A,PRAM1,HSD11B1,TREML2,CD9,TLR2,DHCR7,Ccl7,CAPN1,PAK1,MYO1F,FCGR2A,HAVCR2,ANXA1,TNFAIP3,DUSP5,EPM2A,STAT5B,JUNB	39	
Hematological System Development and Function, Lymphoid Tissue Structure and Development, Organ Morphology, Tissue Morphology	enlargement	Enlargement of lymphoid organ	3.77E-07	 	 	 	 	KRT8,Mt1,NLRP12,LGMN,SELL,JAK3,FCER1G,ITGB2,TNFRSF9,NFKBIA,ADD2,HP,ZFP36,NFKBIZ,PTGIR,SPI1,PAWR,RBM38,AHR,CXCR2,CDKN2B,BAX,STAT5B,FAS,FOXO3,CXCL12,TNFAIP8L2,SOCS3,ABCB4,BCL3,ITGA2B,STAT5A,BIK,BLNK,MIF,SLC4A1,CCR2,TNFSF14,CSF2RB,BMF,ABCA1,MFGE8,KCNN4,HMOX1,GATA1,PLEK2,TNFAIP3,NLRP3,RIPK3,CEBPB,NFE2,TNIP1,PROCR,HPX,RORC	55	
Inflammatory Response	degranulation	Degranulation	3.78E-07	 	1.696	 	1.312	STX11,ITGAM,HCK,STXBP2,CX3CR1,RASGRP4,TRIB3,FGR,EHF,FCER1G,ITGB2,CCL3L3,RAC2,ATF3,FOS,LILRB4,LPIN1,CD63,DUSP1,CD300A,STAT5A,PRAM1,HSD11B1,TREML2,CD9,TLR2,DHCR7,Ccl7,CAPN1,PAK1,MYO1F,FCGR2A,HAVCR2,ANXA1,TNFAIP3,DUSP5,EPM2A,STAT5B,CYBB,JUNB	40	
Lipid Metabolism, Molecular Transport, Small Molecule Biochemistry	transport	Transport of steroid	4.16E-07	 	-0.241	 	-0.691	APOA4,ABCB4,NPC2,APOF,SLC51B,SAA1,LSS,LDLR,SCP2,ABCC3,SLC22A8,ABCA7,RELN,AEBP1,S100A8,FABP4,SREBF1,MPO,ABCG5,ABCA1,S100A9,ABCG8,CES1,VNN1,CLU,PLTP	26	
Connective Tissue Development and Function, Skeletal and Muscular System Development and Function, Tissue Morphology	quantity	Quantity of osteoclasts	4.28E-07	 	1.673	 	1.555	Ccl2,HCK,MMP2,GGT1,F13A1,KLF4,IRAK3,FOS,GPR55,IL1RN,HDC,C5AR1,TYROBP,Clec2d (includes others),HSD11B1,CD9,TNFRSF11A,ESR1,LRRK1,CCR2,EGFR,SLC40A1,CAPN1,MFGE8,GPNMB,LIF,EGR1,PDK4,GATA1,NFKB2,NOS2,NFE2,Ly6a (includes others),JUNB	34	
Hematological System Development and Function, Humoral Immune Response, Lymphoid Tissue Structure and Development, Tissue Morphology	quantity	Quantity of B lymphocytes	4.35E-07	 	-1.077	 	-1.852	Mt1,CD300LF,FCGR1A,NEDD9,NQO2,JAK3,FCER1G,TNFRSF9,GADD45B,ITGB2,ARHGDIB,SPIB,DAPP1,FOS,LILRB4,SLC33A1,RELB,SNAI2,TYROBP,NGF,TNFRSF11A,FES,TLR2,ESR1,S1PR1,BACH2,MPZL2,LILRB3,C17orf99,Cd24a,LIF,SPI1,PIM1,Mbl1,LCN2,FCGR2A,SAMSN1,NFKB2,AHR,SELP,CXCR2,CDKN2B,BAX,STAT5B,FAS,CXCL12,TNFAIP8L2,SOCS3,GNA12,BCL3,SELE,CAMP,PIK3R1,GCNT2,RAC2,KLF4,MYO1G,SDC1,STAT5A,ARHGDIA,APBB1IP,CEBPE,BIK,MAPT,MZB1,BLNK,GSTP1,CCR2,SPN,CLEC4D,BMF,CD79B,CLEC4A,BLK,NOS2,RGS1,RIPK3,CEBPB,EGR2,HPX,ORMDL3,RORC,RARB	83	
Connective Tissue Development and Function, Skeletal and Muscular System Development and Function, Tissue Morphology	quantity	Quantity of bone cells	4.35E-07	 	1.464	 	1.366	Ccl2,HCK,MMP2,GGT1,F13A1,KLF4,IRAK3,FOS,GPR55,IL1RN,TSC22D3,HDC,C5AR1,TYROBP,PER1,Clec2d (includes others),DCN,FOSB,HSD11B1,CD9,TNFRSF11A,ESR1,LRRK1,CCR2,EGFR,SLC40A1,CLCN7,CAPN1,MFGE8,LIF,GPNMB,EGR1,PDK4,GATA1,NPR3,NFKB2,NOS2,AHR,EGR2,NFE2,Ly6a (includes others),JUNB	42	
Cardiovascular Disease, Organismal Injury and Abnormalities	atherogenesis	Atherogenesis	4.60E-07	 	1.420	 	1.420	PON1,Ccl2,CX3CR1,CCR1,CXCL10,MPO,DDR1,NCF1,CXCL2,CCL3L3,NFKBIA,HMOX1,ALOX5,NOS2,LDLR,AHR,ADAMTS13,SERPINE1,ZFP36,TLR2,ESR1,SERPIND1	22	
Hematological System Development and Function, Immune Cell Trafficking, Inflammatory Response, Tissue Development	accumulation	Accumulation of antigen presenting cells	4.94E-07	 	0.641	 	0.399	Ccl2,CCR2,ITGAM,ENTPD1,CXCL12,HCK,EGFR,CX3CR1,TNFAIP8L2,CCR1,S100A9,PLAT,LAMA5,CX3CL1,OSMR,CMKLR1,LDLR,C5AR1,TYROBP,TIMP1,FAS,MIF,NT5E	23	
Cellular Development, Cellular Growth and Proliferation	proliferation	Proliferation of myeloid cells	4.97E-07	 	1.202	 	0.899	CXCL12,LOX,SOCS3,IL6R,JAK3,HTRA1,PIK3R1,WT1,KLF4,SPIB,STING1,DUSP1,STAT5A,TYROBP,DCN,GSTP1,TAL1,TLR2,EGFR,SLC40A1,IL1B,CSF2RB,SPI1,CXCL2,PIM1,GATA1,IGF1,EPOR,HAVCR2,RHBDF2,ELANE,LGALS3,NFE2,SERPINE1,CXCL3,STAT5B,FAS,FOXO3	38	
Hematological System Development and Function, Immunological Disease, Inflammatory Disease, Lymphoid Tissue Structure and Development, Organ Morphology, Organismal Development, Organismal Injury and Abnormalities, Tissue Morphology	enlargement	Enlargement of spleen	5.02E-07	 	 	 	 	KRT8,Mt1,NLRP12,LGMN,SELL,JAK3,ITGB2,FCER1G,TNFRSF9,NFKBIA,ADD2,HP,ZFP36,NFKBIZ,PTGIR,SPI1,PAWR,RBM38,AHR,CXCR2,CDKN2B,BAX,STAT5B,FAS,FOXO3,TNFAIP8L2,SOCS3,ABCB4,BCL3,ITGA2B,STAT5A,BIK,BLNK,MIF,SLC4A1,CCR2,TNFSF14,CSF2RB,BMF,ABCA1,MFGE8,KCNN4,HMOX1,GATA1,PLEK2,TNFAIP3,NLRP3,RIPK3,CEBPB,NFE2,TNIP1,PROCR,HPX,RORC	54	
Lipid Metabolism, Small Molecule Biochemistry	metabolism	Metabolism of eicosanoid	5.06E-07	Increased	3.041	 	2.215	Ccl2,F2RL1,ALOX5AP,ERBB4,DPEP2,TNFRSF1A,NCF1,FGR,FCER1G,CAMP,CCL3L3,LEPR,NFKBIA,ALOX5,LDLR,MAP3K8,STAT5A,VWF,MIF,CYP1B1,HLF,IL1B,CD14,ANXA1,GGT5,NOS2,LTB4R,CEBPB,ACACB,CXCL3,STAT5B,FAS,CLEC7A,MGLL	34	
Respiratory Disease	lower respiratory tract disorder	Lower respiratory tract disorder	5.19E-07	 	0.508	 	0.750	ADA,Ccl2,LOX,TK1,ITGAM,HCK,WNT5A,MMP12,NPC2,CYP2E1,KRT14,ARRB2,CMKLR1,IL1RN,Pde4d,FUT8,RGS2,RGN,F11,HSD11B1,TRAF4,Cdkn1c,CD9,LTBP4,Ptprd,INSIG1,HBEGF,EGFR,CD14,FLNA,CSF2RB,ABCA1,LIF,GATA1,IGF1,NOS2,CYP1A2,MYLK,SERPINA1,ELANE,DMRT2,SERPINE1,CYBB,PDGFA,FOXO3,RARB	46	
Cellular Movement, Hematological System Development and Function, Immune Cell Trafficking, Inflammatory Response	cell movement	Cell movement of bone marrow-derived macrophages	5.37E-07	 	1.329	 	0.843	CCR2,HCK,TNFAIP8L2,KLF6,FLNA,CCL3L3,RAC2,S100A4,SDC1,CX3CL1,Irgm1,SERPINE1,CXCL3,HCAR2,CTSE	15	
Cellular Movement, Hematological System Development and Function, Immune Cell Trafficking	trafficking	Trafficking of leukocytes	5.37E-07	 	1.948	 	1.278	Ccl2,CCR2,SPN,CX3CR1,CXCL10,HPSE,TNFRSF1A,NEDD9,TNFRSF9,ITGB2,CCL3L3,AQP3,ANXA1,MAP3K8,S1PR1	15	
Cancer, Organismal Injury and Abnormalities	intrathoracic malignant tumor	Intrathoracic malignant tumor	5.64E-07	 	1.948	 	2.058	PFKP,KRT8,TK1,MMP2,CSF3R,RALGAPA2,HTRA1,GADD45B,ALDOA,ARRB2,NFKBIA,ANGPTL4,SKAP2,ATF3,ALOX5,STING1,C5AR1,VWF,HCAR2,TNFRSF11A,Cdkn1c,Saa3,GPI,S1PR1,EGFR,TNFRSF21,ANXA2,CTSG,ANXA1,AHR,SELP,CLU,CXCR2,ADM,ELANE,ALDOC,SERPINE1,THRB,CTSZ,CXCL12,Gm12854/S100a11,LGALS1,WNT5A,MMP12,IL6R,PIK3R1,IL15RA,S100A4,MGMT,AKAP12,TPI1,RNF43,DCN,NT5E,TAL1,CCR2,KLF6,S100A6,GPNMB,PLK3,NOS2,TNFAIP3,RIPK3,MAPK13,DNMT3B	65	
Cell Morphology, Digestive System Development and Function, Hepatic System Development and Function, Organ Morphology, Organismal Development	morphology	Morphology of liver cells	5.92E-07	 	 	 	 	JUN,ADA,KRT8,Mt1,CCR1,TNFRSF1A,ABCB4,PPARA,CYP2E1,FOS,RGN,SCP2,ESR1,TLR2,CTBS,EGFR,ABCB10,CP,LIF,ABCG2,PCTP,GSTZ1,MMUT,AHR,NGFR,RASSF1,SLC13A5,LGALS3	28	
Cellular Movement, Hematological System Development and Function, Immune Cell Trafficking	migration	Migration of antigen presenting cells	5.98E-07	Increased	3.132	 	2.332	Ccl2,CD207,CXCL12,ITGAM,HCK,F2RL1,NLRP12,TNFAIP8L2,LGALS1,CCL3L3,RAC2,TREM2,ARRB2,SDC1,CMKLR1,ARHGEF5,TYROBP,TLR2,S1PR1,CCR2,S100A8,CXCL10,FLNA,KLF6,CSF2RB,FPR2,MAS1,GATA1,NOS2,MYLK,MYO9B,SERPINE1,CXCL3,ICAM1	34	
Cell Death and Survival	cell death	Cell death of gastrointestinal cells	6.30E-07	 	1.205	 	1.304	GSDMD,HBEGF,KRT8,EGFR,IL1B,MAD2L2,TNFRSF1A,IGF1,ATF3,TNFRSF10A,FITM2,TNFAIP3,RIPK3,RNF186,PLS1,MAP3K8,TFF3,TNIP1,BAX,GUCY2C,FAS,CASP4,TNFAIP8	23	
Cellular Movement, Hematological System Development and Function, Immune Cell Trafficking, Inflammatory Response	chemotaxis	Chemotaxis of antigen presenting cells	6.75E-07	Increased	2.502	 	1.817	Ccl2,CXCL12,HCK,CX3CR1,HPSE,SELL,LITAF,CCL3L3,S100A4,CX3CL1,ARHGEF5,TRPM2,LDLR,C5AR1,ANO6,MARCO,CTSE,HCAR2,MIF,TLR2,CCR2,TRPM4,FPR2,CCRL2,SELP,LGALS3,MYO9B,ICAM1,Retnlg	29	
Cell Death and Survival	cell death	Cell death of lymphatic system cells	6.85E-07	 	0.498	 	0.899	ADA,Ccl2,Mt1,TNFRSF1A,SALL4,NQO2,UBD,JAK3,PPARA,TNFRSF9,GADD45B,NFKBIA,ATF3,SPIB,FOS,STING1,ATG3,C5AR1,RELB,NGF,CD9,TLR2,S1PR1,TNFRSF21,Cd24a,SPI1,PAWR,ABCG2,LCN2,NFKB2,AHR,STAT6,BAX,STAT5B,FAS,FOXO3,IKBKE,JUN,ACHE,TNFAIP8L2,LGALS1,WNT5A,IL6R,BCL3,PIK3R1,IL15RA,RAC2,WT1,CHI3L1,GPX4,TSC22D3,IER3,STAT5A,DCN,BLNK,CASP4,SPN,ADAM8,SGPL1,NR4A1,BMF,ICOSLG/LOC102723996,CD79B,EGR1,LECT2,PERP,Irgm1,NOS2,TNFAIP3,DUSP5,RIPK3,ORMDL3,RORC,DNMT3B	74	
