category	functions	disease	pvalue	state	zscore	bias_zscore	molecules	no_molecules
Organismal Injury and Abnormalities, Respiratory Disease	lung injury	Lung injury	2.7e-08	0	1.791	1.586	ENTPD1, ITGAM, F2RL1, HPSE, TNFRSF1A, MMP12, IL6R, NCF1, ITGB2, ACE, SELE, CYP2E1, CCL3L3, SAA1, C5AR1, MARCO, NT5E, TLR2, S1PR1, CD5L, CXCL10, PLAUR, ANXA2, EGR1, HMOX1, OLR1, SOD3, NOS2, LTB4R, AHR, SELP, NLRP3, CXCR2, MAPK13, MMP8, ELANE, SERPINE1	37
Cell Death and Survival, Cellular Function and Maintenance	clearance	Clearance of cells	2.86e-08	0	0.745	-0.007	Ccl2, NLRP12, CARD9, FCER1G, CAMP, LEPR, CCL3L3, STING1, IL1RN, HDC, P2RY2, MARCO, TLR2, CCR2, STAT4, SPON2, IL1B, FLNA, CD14, Cd24a, ANXA2, Mbl1, LECT2, FCGR2A, TNFAIP3, NLRP3, CLEC6A, ELANE, LGALS3, RORC	30
Organismal Injury and Abnormalities, Renal and Urological Disease	glomerulosclerosis	Glomerulosclerosis	2.9e-08	0	-1.66	-1.061	JUN, TK1, ENTPD1, F2RL1, Mt1, CX3CR1, MMP2, LGMN, WNT5A, CCR1, PTPRB, TNFRSF1A, IFNLR1, FRAT1, WT1, LIN7C, WFDC2, IRAK3, JUND, GHR, ARHGDIA, DCN, ESR1, CYP1B1, SLC2A6, SREBF1, ABCA1, MAS1, KCNN4, HMOX1, NOS2, SLC2A9, CLU, ADM, XYLT2, APRT	36
Cell-To-Cell Signaling and Interaction, Hematological System Development and Function, Immune Cell Trafficking, Inflammatory Response, Nervous System Development and Function	activation	Activation of microglia	3.19e-08	Increased	2.414	2.201	Ccl2, FGF1, F2RL1, CX3CR1, Orm1 (includes others), ACE, TREM2, TRPM2, SNCA, IL1RN, MAPT, MIF, TLR2, CCR2, CLCN7, IL1B, CXCL10, NR4A1, ANXA2, PLAT, PDK4, LCN2, NOS2, CEBPB, LGALS3, CYBB, MAOB	27
Cancer, Organismal Injury and Abnormalities	incidence	Incidence of tumor	3.3e-08	0	0.041	0.658	NLRP12, ERBB4, TNFRSF1A, LAMA3, NEDD9, SELL, PPARA, PKM, ALDOA, PLA2G7, DPYSL4, ATF3, FOS, CXCR6, HP, WIF1, HCAR2, TNFRSF11A, CYP1B1, TLR2, S1PR1, Neat1, SOX5, LCN2, IGF1, NFKB2, TES, EPB41L3, AHR, CLU, VCAN, STAT6, CDKN2B, ADM, EPHX1, BAX, STAT5B, FAS, PLTP, CTSZ, UNC13B, JUN, CD207, ACHE, CXCL12, Gm12854/S100a11, LGALS1, SOCS3, IL6R, LEPR, WT1, S100A4, KLF4, CX3CL1, MGMT, BTG2, TPI1, IER3, P2RY2, RNF43, DCN, IGFBP3, GSTP1, NT5E, RELN, S100A8, KLF6, PAK1, S100A9, BMF, S100A6, EGR1, Ngp, TERT, RALGDS, PLK3, MMP19, DUSP5, CEBPB, ARL13B, MAPK13, NFE2, RORC, PFKP, Ccl2, NEU3, TK1, LMO1, Mt1, NQO2, GADD45B, CYP2E1, NFKBIA, PROM1, SLC33A1, MAP3K8, ANO6, VWF, Cdkn1c, CD86, ESR1, GPI, BACH2, PDCD4, EGFR, AEBP1, IL1B, FABP4, FPR2, PTPRT, ANXA2, SPI1, ADAM15, PIM1, ACVR1B, Pvr, RBM38, LTF, CDCP1, RASSF1, MMP8, ALDOC, SERPINE1, NLRP6, FOXO3, THRB, ANXA7, ITGA3, MMP12, ABCB4, BCL3, PIK3R1, RAC2, CCN4, BLNK, TRAF4, MIF, TAL1, Spg20, SPN, GLDC, TFF1, CBR1, MFGE8, HMOX1, PERP, NOS2, PRLR, CYP1A2, NAMPT, LGALS3, Ly6a (includes others), DNMT3B	153
Cellular Movement, Hematological System Development and Function, Immune Cell Trafficking, Inflammatory Response	influx	Influx of phagocytes	3.45e-08	Increased	2.008	1.647	Ccl2, CCR2, CX3CR1, IL1B, TNFRSF1A, MPO, PLAUR, PLAT, ITGB2, LCN2, IRAK3, FCGR2A, ANXA1, CXCR2, SERPINA1, LGALS3, MARCO, CYBB, TLR2	19
Hematological System Development and Function, Inflammatory Response, Tissue Morphology	quantity	Quantity of dendritic cells	3.58e-08	0	0.627	0.229	Ccl2, ADA, CLEC4E, F2RL1, LGALS1, JAK3, SELL, BCL3, ITGB2, FCER1G, IL15RA, CAMP, ARRB2, SPIB, ARHGEF5, LDLR, IL1RN, RELB, STAT5A, TYROBP, CD86, TLR2, CCR2, TRPM4, HBEGF, IL1B, FPR2, CLEC4D, ACKR4, SPI1, GATA1, CLEC4A, NFKB2, NOS2, AHR, CLU, CDKN2B, LGALS3	38
Embryonic Development, Organismal Development	development	Development of body trunk	3.61e-08	0	-0.08	-1.063	PKHD1, ENKUR, GGT1, ERBB4, MMP2, TNFRSF1A, RASGRP4, SELL, SLIT3, SLC23A1, ARRB2, LIN7C, Aldh1a7, WDR1, TNFRSF11A, CD9, HBEGF, ADRA1B, Nrg1, AHR, DNAH5, GSN, CXCR2, CDKN2B, ADM, FST, BAX, FAS, APRT, BTN1A1, MFAP4, TNS2, WNT5A, HPSE, SULF2, NPC2, LEPR, CCL3L3, ESRRG, SPRY4, CBX2, BICC1, SLC40A1, LMO2, EGR1, PLAT, RIPK3, CEBPB, EPB42, PDGFA, ALDH1A3, CSRP3, RORC, P2RY6, RARB, IFT57, TK1, BMP5, APLNR, SPIB, RELB, CAT, FUT8, FLRT3, RGN, ESR1, DHCR7, ASB4, EGFR, PDCD4, AEBP1, SELP, FOXO3, FGF1, BCL3, LAMA5, DNAH11, GZF1, EHD4, TAL1, CEBPD, SGPL1, CSF2RB, ABCA1, EPOR, PRLR, CYP1A2, CTNNBIP1, ICAM1, ATXN1, PYGO1, ADA, KRT8, LOX, NCF1, FCER1G, ATF3, NEK8, FZD1, TYROBP, GHR, F11, FOXA2, TLR2, WWP1, Ptprd, Neat1, FABP7, LCN2, IGF1, NFKB2, VCAN, MYLK, GRHL2, STAT6, STAT5B, XYLT2, YWHAZ, JUN, CXCL12, LY6E, IL6R, SLC20A1, FASN, MEGF8, LBP, WT1, FKBP1B, KLF4, FGFRL1, TKT, AREG, AKAP12, DUSP1, GCNT1, STAT5A, HOPX, NTRK2, CCR2, SREBF1, SMPD3, KLF6, F2RL2, BMF, IGFBP2, CASQ1, TSC22D1, SLC2A4, PROK2, ARL13B, CYP51A1, GREB1L, RRAS, DUSP8, Ccl6, SALL4, ECSCR, ADAMTS16, LIMS2, NFKBIA, CMKLR1, ASCL1, PNPLA2, FOSB, HSD11B1, VWF, Cdkn1c, CD86, FABP2, SELENON, HSD17B2, EHD3, IL1B, FLNA, CD14, HSPB8, CDC25A, IGFBP5, LIF, SPI1, PIM1, ANXA1, SERPINE1, CXCL3, KLF1, SPTB, ITGA3, EMILIN1, CACNB4, MMP12, DDR1, SELE, ACE, CD83, MRTFA, WNT2, MRAP, Tpm1, HSD17B7, TRAF4, CXADR, GDF15, ITGA6, MFGE8, MYH10, GATA1, HEYL, KRT18, GSTZ1, NOS2, AGAP2, EGR2, LGALS3, TIMP1, DMRT2, NKX2-6	216
Lipid Metabolism, Small Molecule Biochemistry, Vitamin and Mineral Metabolism	synthesis	Synthesis of terpenoid	3.73e-08	0	1.047	0.652	MMP2, WNT5A, TNFRSF1A, HMGCR, PPARA, ADH4, Akr1c20, SREBF2, VIM, AREG, LSS, LDLR, HDC, HSD17B7, CYP39A1, ASPA, SCP2, ESR1, DHCR7, INSIG1, PON1, EGFR, IL1B, SREBF1, CYP17A1, NR4A1, ABCG5, DBI, Nrg1, LIF, FDFT1, ABCG8, IGF1, PRLR, DHCR24, FDX1, TM7SF2, CYP51A1, ACAT1, ALDH1A3, PLTP	41
Infectious Diseases	systemic inflammatory response syndrome and/or sepsis	Systemic inflammatory response syndrome and/or sepsis	3.91e-08	0	0.302	0.051	SERPINB1, ENTPD1, ITGAM, HCK, F2RL1, SOCS3, TNFRSF1A, IL6R, CAMP, CCL3L3, BIRC3, ATF3, MAP3K8, TREM1, GOLM1, MIF, CASP4, STAT4, IL1B, CD14, OASL, MPO, S100A9, SPI1, LCN2, NOS2, TNFAIP3, NLRP3, RIPK3, STAT6, LGALS3, CFP, SERPINE1, FAS, IFI16, ICAM1, MGLL	37
Cardiovascular System Development and Function	development	Development of vasculature	4.33e-08	Increased	3.051	2.065	ADA, PKHD1, LOX, CX3CR1, MMP2, TNFRSF1A, PTPRB, NCF1, SELL, SLIT3, PPARA, FGR, PKM, ITGB2, PLA2G7, ALOX5, Aldh1a7, GHR, RGS2, FOXA2, CD9, FES, FERMT3, CYP1B1, TLR2, LRG1, S1PR1, TNFRSF21, ANG, C6, LCN2, IGF1, AHR, CLU, GSN, CXCR2, P2RX4, ADM, TNFRSF12A, FAS, YWHAZ, JUNB, JUN, CXCL12, ITGAM, LGALS1, WNT5A, SULF2, HPSE, SOCS3, ADM2, MEGF8, NPC2, WT1, ROR1, KLF4, FGFRL1, SPRY4, CX3CL1, VIM, TKT, CHI3L1, CBX2, STAT5A, ARHGDIA, IGFBP3, BCAM, NTRK2, CCR2, SMPD3, NR4A1, LMO2, PLAUR, EGR1, PLAT, Ngp, GFAP, LTB4R, RIPK3, PROK2, SMOC2, CYP51A1, FZD8, PROCR, PDGFA, RARB, PLPP3, Ccl2, APLNR, ECSCR, HTRA1, CYP2E1, NFKBIA, ANGPTL4, Mug1/Mug2, LRP8, LMNA, PROM1, IL1RN, C5AR1, RELB, CAT, ABCC6, RGN, NGF, PTGIR, ESR1, ZMYND10, DHCR7, ASB4, EHD3, IL1B, FABP4, SVEP1, CXCL10, FLNA, ANXA2, LIF, SPI1, ADAM15, OLR1, ANXA1, PROK1, SELP, MMP8, SERPINE1, CYBB, KLF1, FOXO3, SERPIND1, TTR, HCK, GLUL, F2RL1, ITGA3, EMILIN1, DDR1, ABCB4, ACE, SELE, PIK3R1, RAC2, ARHGAP22, LAMA5, SDC1, LDLR, WNT2, HSD17B7, MAPT, IL18BP, EHD4, MMP15, TAL1, CXADR, G6PD, HPGD, SGPL1, ADAM8, CSF2RB, SEMA3B, MFGE8, MYH10, CXCL2, CYP4F2, HMOX1, EPOR, NOS2, NGFR, LGALS3, TIMP1, ICAM1, ATXN1	172
Cancer, Organismal Injury and Abnormalities	neoplasia	Neoplasia of tumor cell lines	4.39e-08	Increased	3.397	2.687	KRT8, GPT2, NEDD9, UBD, RALGAPA2, HTRA1, PKM, NFKBIA, ANGPTL4, SKAP2, DPYSL4, ATF3, ALOX5, NCF2, TRPM2, CXCR6, PROM1, ADI1, SNAI2, FUT8, FGL1, TNFRSF11A, TLR2, GPI, S1PR1, BACH2, EGFR, IL1B, DAPK1, TNFRSF21, CDC25A, PIM1, IGF1, ANXA1, CDCP1, SELP, RASSF1, CXCR2, GRHL2, CLEC6A, MMP8, CXCL3, CYBB, FOXO3, CYBA, FLOT1, ENTPD1, ITGA3, WNT5A, RHOC, RAC2, WT1, S100A4, KRT14, KLF4, ROR1, LAMA5, SDC1, VIM, MGMT, MRTFA, TLE6, AREG, TPD52, CCN4, IL17RB, TRAF4, NT5E, UGDH, ARHGDIG, KLF6, ABCA1, PLAUR, IGFBP2, MFGE8, EGR1, CXCL2, PDK4, HMOX1, WSB1, PRLR, NOS2, RIPK3, SMOC2, PRKAA2, LGALS3, MCAM, PROCR, ALDH1A3, LDHB, MTHFD2	91
Molecular Transport	quantity	Quantity of metal	4.46e-08	0	-0.619	-1.228	FTL, Mt1, CLDN7, NEDD9, FCER1G, TNFRSF9, ADD2, LIN7C, LMNA, FOS, CMKLR1, HP, JUND, RGS2, SLC11A1, SLC30A3, ADRA1B, ABCB10, IL1B, CXCL10, SLC25A37, ERFE, ANXA2, MAS1, RHAG, IGF1, LCN2, LTF, SLC2A9, GSN, CXCL3, BAX, GNAT1, FAS, CYBB, AQP4, FOXO3, TTR, ENTPD1, CXCL12, EI24, HSPA4L, PIK3R1, SLC31A1, CLDN2, ESRRG, AKAP12, TSC22D3, P2RY2, NTRK2, MAPT, BLNK, STEAP4, SPN, SLC40A1, CP, CASQ1, KCNN4, HMOX1, EPOR, NHLRC1, GUCA2B, HLA-A, PRLR, NOS2, EPB42, HPX, SUCNR1, RHCE/RHD	69
Organismal Injury and Abnormalities	hypertrophy	Hypertrophy	4.5e-08	0	0.218	0.285	ADA, Ccl2, APLNR, Hspa1b, TNFRSF1A, NCF1, DES, PPARA, PRKAG2, ARRB2, GLA, ATF3, CMKLR1, HDC, PNPLA2, RGS2, HSD11B1, CTSD, TLR2, PTGIR, ESR1, HBEGF, SELENON, HSD17B2, EGFR, CTF1, EHD3, HSPB8, LIF, PIM1, IGF1, GPX3, AHR, RASSF1, GSN, ADM, ABCD2, SERPINE1, BAX, FST, CDK5RAP1, CYBB, FOXO3, IKBKE, JUN, CXCL12, HCK, EI24, IL6R, FASN, PIK3R1, LEPR, FKBP1B, KLF4, MRTFA, DUSP1, IER3, HOPX, Tpm1, CPT2, EHD4, PNKD, NT5E, SLC4A1, CCR2, SREBF1, ABCA1, S100A6, DBI, MYH10, PLAT, TERT, HMOX1, GFAP, NOS2, MMP19, TNFAIP3, CYP1A2, SLC2A4, CEBPB, PRKAA2, TIMP1, GUCY2C, CSRP3, PDGFA, ICAM1, P2RY6, RARB	88
Lipid Metabolism, Molecular Transport, Small Molecule Biochemistry	efflux	Efflux of cholesterol	4.72e-08	0	-1.062	-1.345	RELN, S100A8, APOA4, AEBP1, SREBF1, FABP4, MPO, ABCG5, S100A9, ABCA1, NPC2, APOF, ABCG8, CES1, VNN1, SAA1, LSS, LDLR, CLU, SCP2, PLTP, ABCA7	22
Molecular Transport	quantity	Quantity of heavy metal	4.9e-08	0	-0.589	-0.261	FTL, Mt1, NEDD9, SLC31A1, ADD2, HP, JUND, SLC11A1, STEAP4, SLC30A3, SLC40A1, ABCB10, CP, SLC25A37, ERFE, KCNN4, HMOX1, LCN2, RHAG, LTF, HLA-A, NOS2, EPB42, HPX, FAS, RHCE/RHD	26
Nutritional Disease	weight gain	Weight gain	4.96e-08	0	0.517	0.31	LGMN, IGFALS, PRKAR2B, MAD2L2, NCF1, SELL, PPARA, LMNA, FOS, BRINP1, GRIN3B, IL1RN, HDC, PNPLA2, CPT1C, FGL1, HSD11B1, ZFP36, CYP1B1, TLR2, ESR1, ASB4, DDO, SELENON, ADRA1B, MOGAT2, LIF, PLAC8, IGF1, AHR, STAT5B, MGLL, JUNB, ACHE, ANXA7, APOA4, F2RL1, SOCS3, ACE, PIK3R1, LEPR, CIDEC, FITM2, RHBDF1, LDLR, Akr1b7, IGFBP3, BCAM, NTRK2, SLC4A1, SP4, CCR2, KCNC3, PNLIPRP1, GDF15, KLF6, NR4A1, TERT, IGFBP1, HLA-A, PRLR, NOS2, CYP1A2, GPR12, LGALS3, EPM2A, GUCY2C, ICAM1, IGSF1	69
Infectious Diseases	sepsis	Sepsis	5.09e-08	0	0.112	-0.142	SERPINB1, ENTPD1, ITGAM, HCK, F2RL1, SOCS3, TNFRSF1A, IL6R, CAMP, CCL3L3, BIRC3, ATF3, MAP3K8, TREM1, GOLM1, MIF, CASP4, STAT4, IL1B, CD14, OASL, MPO, S100A9, SPI1, LCN2, NOS2, TNFAIP3, NLRP3, STAT6, LGALS3, CFP, SERPINE1, FAS, IFI16, ICAM1, MGLL	36
Cell-To-Cell Signaling and Interaction, Hematological System Development and Function, Immune Cell Trafficking, Inflammatory Response	adhesion	Adhesion of phagocytes	5.25e-08	0	1.008	0.522	ITGAM, HCK, CSF3R, SELL, ITGB2, SELE, RAC2, MARCO, FERMT3, MIF, GDF15, FLNA, LILRB3, PAK1, SPI1, CXCL2, ANXA1, Irgm1, NOS2, SELP, CXCR2, STAT6, LGALS3, CXCL3, SERPINE1, ICAM1, CYBB	27
Metabolic Disease, Organismal Injury and Abnormalities	metabolism	Abnormal metabolism	5.37e-08	0	-0.246	0.262	LOX, Hspa1b, TNFRSF1A, ACAT2, NQO2, PPARA, Cyp2g1, ANGPTL4, GLA, LPIN1, SLC33A1, PNPLA2, CPT1C, RGN, HSD11B1, SCP2, TLR2, ESR1, ARSA, PON1, MOGAT2, TNFRSF21, IGFBP5, SLC16A2, PCSK9, AHR, FAHD1, SERPINE1, SOAT2, CDK5RAP1, STEAP2, FOXO3, PLTP, THRB, FASN, ABCB4, NPC2, BCL3, ACE, UPP1, LEPR, LCP1, FITM2, LDLR, PPP1R3C, P2RY2, IGFBP3, NT5E, STEAP4, PNLIPRP1, SREBF1, ADAM8, MPO, ABCA1, FDFT1, NOS2, PLIN3, SLC13A5, ACAT1, COQ8A, FOXQ1	61
Cellular Movement, Hematological System Development and Function, Immune Cell Trafficking	cellular infiltration	Cellular infiltration by lymphocytes	5.79e-08	0	1.9	1.701	Ccl2, CXCL12, ITGAM, CX3CR1, F2RL1, TNFAIP8L2, CCR1, LGALS1, TNFRSF1A, TNFRSF9, PIK3R1, SELE, IL15RA, NFKBIA, S100A4, ARRB2, SAA1, STING1, LDLR, STAT5A, IL17RB, MIF, CD86, ESR1, GSDMD, CCR2, IL1B, CXCL10, NR4A1, CSF2RB, TNFRSF21, NFKB2, TNFRSF10A, HLA-A, SELP, NLRP3, MYLK, SELPLG, MCAM, TIMP1, TNIP1, STAT5B, Ly6a (includes others), FAS, RORC	45
Molecular Transport	export	Export of molecule	5.88e-08	0	-0.131	-0.604	CXCL12, APOA4, F2RL1, FRAT1, NPC2, APOF, SAA1, LSS, ACSL1, LDLR, GHR, SLC11A1, SCP2, ABCC3, ABCA7, RELN, AEBP1, S100A8, FABP4, SREBF1, CP, MPO, ABCG5, ABCA1, S100A9, ABCG8, CES1, HMOX1, ABCG2, VNN1, CLU, EGR2, CHRNA4, PLTP	34
Humoral Immune Response, Protein Synthesis	quantity	Quantity of immunoglobulin	6.11e-08	0	-0.361	-0.356	Ccl2, RSAD2, Mt1, TNFRSF1A, FCGR1A, JAK3, VSIR, FCER1G, TNFRSF9, GADD45B, ITGB2, NFKBIA, ATF3, SPIB, DAPP1, LILRB4, RELB, MAP3K8, TYROBP, NFKBIZ, CD86, TLR2, ESR1, BACH2, CXCL10, TNFRSF21, FPR2, SPI1, Mbl1, FCRLA, SAMSN1, NFKB2, Pvr, SELP, CABIN1, CXCR2, BATF, STAT6, FAS, CD207, CLEC4E, F2RL1, TNFAIP8L2, CCR1, BCL3, IRAK3, SDC1, CD83, CHI3L1, LDLR, MARCO, BLNK, IL17RB, CTSE, CCR2, Cmah, TRIP10, CSF2RB, CLEC4D, BMF, ICOSLG/LOC102723996, MFGE8, CLEC4A, NOS2, RGS1, CEBPB, LGALS3, CHRNA4, Ly6a (includes others)	69
Antimicrobial Response, Inflammatory Response	antibacterial response	Antibacterial response	6.7e-08	0	0	0	CLEC4E, HCK, FCGR1A, TNFRSF1A, NCF1, BCL3, FGR, FCER1G, CARD9, CAMP, TREM2, CEBPE, SLC11A1, TLR2, MPEG1, ADAMTS4, SPN, SPON2, SLPI, CLEC4D, MYO1F, ANG, PLAC8, LYZ, HLA-A, NOS2, CEBPB	27
Cell-To-Cell Signaling and Interaction, Hematological System Development and Function, Inflammatory Response	immune response	Immune response of neutrophils	7.24e-08	0	1.856	1.354	CCR2, ITGAM, HCK, CD5L, CXCL10, LILRB3, CSF2RB, PLAUR, FGR, FCER1G, ITGB2, TREM2, LCN2, SAA1, RELB, TYROBP, CLEC6A, SERPINE1, CXCL3, ICAM1	20
Inflammatory Disease, Inflammatory Response, Organismal Injury and Abnormalities, Renal and Urological Disease	nephritis	Nephritis	7.7e-08	0	-0.393	0.404	MAPKAPK3, ITGAM, CX3CR1, F2RL1, Mt1, CCR1, FCGR1A, TNFRSF1A, GADD45B, PRKAG2, ACE, NFKBIA, WT1, ARRB2, C5AR1, RELB, ARHGDIA, DCN, MIF, TLR2, ESR1, LAMB2, HBEGF, EGFR, SLC2A6, TNFSF14, BMF, ABCA1, ICOSLG/LOC102723996, CD79B, Cd24a, MFGE8, LIF, PIM1, HMOX1, FCGR2A, NFKB2, MMUT, SLC2A9, TNFAIP3, SELP, CEBPB, SERPINE1, TNIP1, BAX, FAS, FOXO3, APRT	48
Cell Death and Survival, Gastrointestinal Disease, Hepatic System Disease, Organismal Injury and Abnormalities	cell death	Cell death of liver cells	7.71e-08	0	1.377	1.524	JUN, KRT8, SOCS3, TNFRSF1A, IL6R, NCF1, SLC20A1, FASN, PPARA, GADD45B, ITGB2, PIK3R1, CYP2E1, NFKBIA, ARRB2, BIRC3, FOS, SAA1, LDLR, JUND, IL1RN, RGN, CCR2, IL1B, BMF, HMOX1, IGF1, EPOR, KRT18, IGFBP1, TNFRSF10A, NOS2, AHR, NGFR, RIPK3, CEBPB, STAT6, CIT, PRKAA2, CXCL3, TNIP1, BAX, FAS, FOXO3	44
Immunological Disease	allergy	Allergy	7.8e-08	0	1.82	1.354	DUSP10, STXBP2, ALOX5AP, CD300LF, FCGR1A, HPSE, TNFRSF1A, IL6R, FGR, BCL3, LBP, FCER1G, ALDOA, CAMP, AQP3, ALOX5, IDO2, CMKLR1, LILRB4, TKT, CD63, TPI1, DUSP1, HDC, IL18BP, NFKBIZ, PTGIR, CCR2, TRPM4, IL1B, SPON2, MME, NR4A1, CAPN1, CSF2RB, FPR2, SPI1, FCGR2A, CCRL2, Pvr, NOS2, LTB4R, STAT6, Ly6a (includes others), ICAM1, RORC	46
Inflammatory Disease, Neurological Disease, Skeletal and Muscular Disorders	multiple sclerosis	Multiple Sclerosis	7.84e-08	0	0	0	SQLE, DHCR24, MBP, MVK, TM7SF2, CYP51A1, MCAM, FAS, DHCR7	9
Humoral Immune Response, Protein Synthesis	production	Production of antibody	8.53e-08	0	-0.426	-0.431	Ccl2, RSAD2, Mt1, TNFRSF1A, FCGR1A, JAK3, VSIR, FCER1G, TNFRSF9, GADD45B, ITGB2, NFKBIA, ATF3, SPIB, DAPP1, LILRB4, RELB, MAP3K8, TYROBP, NFKBIZ, CD86, TLR2, ESR1, BACH2, CXCL10, TNFRSF21, FPR2, SPI1, Mbl1, FCRLA, SAMSN1, NFKB2, Pvr, SELP, CABIN1, CXCR2, BATF, STAT6, FAS, CD207, CLEC4E, F2RL1, TNFAIP8L2, CCR1, BCL3, IRAK3, SDC1, CD83, CHI3L1, LDLR, MARCO, BLNK, IL17RB, CTSE, MIF, CCR2, Cmah, TRIP10, CSF2RB, CLEC4D, BMF, ICOSLG/LOC102723996, MFGE8, CLEC4A, NOS2, RGS1, CEBPB, LGALS3, CHRNA4, Ly6a (includes others)	70
Organismal Injury and Abnormalities	cytosis	Cytosis of blood cells	8.71e-08	Decreased	-2.381	-2.195	ADA, CXCL12, PLSCR1, SOCS3, CSF3R, SELL, ITGB2, SELE, RAC2, NFKBIA, ADD2, BIRC3, DMTN, TSC22D3, DUSP1, TLR2, SLC4A1, CCR2, IL1B, S100A9, LIF, GATA1, SELP, NLRP3, CXCR2, EPB42, LGALS3, CXCL3	28
Cell Death and Survival	cell death	Cell death of antigen presenting cells	8.76e-08	0	1.106	0.885	ENTPD1, TNFRSF1A, TREM2, BIRC3, FOS, STING1, LDLR, TREM1, ZFP36, MIF, CASP4, TLR2, GSDMD, CD5L, FABP4, IL1B, ADAM8, MEFV, NR4A1, PLAT, HMOX1, LCN2, PCTP, LYZ, NOS2, TNFAIP3, NAMPT, NLRP3, RIPK3, CEBPB, ACAT1, LGALS3, BAX, FAS, IL36G, CYBB	36
Cancer, Organismal Injury and Abnormalities	abdominal neoplasm	Abdominal neoplasm	8.85e-08	0	-0.416	-0.092	NLRP12, MMP2, RALGAPA2, PPARA, PLA2G7, DEPTOR, TNFRSF9, PKM, ATF3, FOS, STING1, Saa3, CYP1B1, TLR2, Neat1, PLAC8, LCN2, IGF1, TES, EPB41L3, AHR, CLU, VCAN, STAT6, TNFRSF12A, BAX, FAS, XYLT2, CTSZ, JUN, ITGAM, MAPKAPK3, LGALS1, SOCS3, SULF2, HMGCR, CAMP, S100A4, MGMT, AKAP12, P2RY2, BICC1, GSTP1, NT5E, CCR2, KLF6, Scd2, IGFBP2, TXNRD1, EGR1, TERT, PLK3, RIPK3, Cyp2b13/Cyp2b9, DUSP10, Ccl2, Mt1, NFKBIA, SLC7A2, SAA1, PNPLA2, CTSD, ESR1, EGFR, IL1B, FPR2, PTPRT, ADAM15, PIM1, PAWR, COL6A2, RBM38, RASSF1, SERPINE1, SSTR2, NLRP6, FOXO3, CLEC7A, ANXA7, ITGA3, ABCB4, F13A1, CLDN1, PIK3R1, PLET1, SMYD2, MIF, LTBP4, HPGD, ADAM8, TFF1, MFGE8, GSTZ1, NOS2, AGAP2, AKR1B10, NLRP3, LGALS3, TIMP1, Ly6a (includes others), DNMT3B	101
Cellular Movement, Hematological System Development and Function, Immune Cell Trafficking, Inflammatory Response	influx	Influx of neutrophils	9.15e-08	0	1.748	1.438	Ccl2, CX3CR1, IL1B, TNFRSF1A, MPO, PLAUR, PLAT, ITGB2, LCN2, FCGR2A, IRAK3, ANXA1, CXCR2, SERPINA1, MARCO, CYBB, TLR2	17
Immunological Disease	abnormal quantity	Abnormal quantity of TNF	9.18e-08	0	0	0	SPON2, CD14, EGR1, Mbl1, CCL3L3, TREM2, NFKBIA, ARRB2, AHR, NGFR, Pde4d, RELB, CEBPB, ICAM1, TLR2	15
Organismal Development	mass	Mass of organism	9.47e-08	0	-0.078	-0.793	Mt1, Hspa1b, DCXR, TNFRSF1A, PPARA, AQP7, CDHR2, ITGB2, PRKAG2, ARRB2, LMNA, SREBF2, FOS, CMKLR1, LPIN1, IL1RN, HDC, GHR, CPT1C, FGL1, ZFP36, FES, TLR2, ESR1, DGAT2, EGFR, FABP4, IL1B, SLC16A2, SLC1A2, SORCS1, SORCS3, IGF1, LCN2, OSMR, RASD1, STAT6, ACACB, SERPINE1, TNFRSF12A, FST, STAT5B, MAOB, SOCS3, FASN, SELE, LEPR, FKBP1B, KLF4, TKT, TPST1, LDLR, TSC22D3, DUSP1, STAT5A, GPR39, MXD1, IGFBP3, NTRK2, BICC1, LAMB2, CLSTN3, NUCB2, ELOVL1, GDF15, SREBF1, SLC2A3, CA5A, PHLDA2, ABCA1, GFAP, IGFBP1, PRLR, MMP19, CYP1A2, SLC2A4, PRKAA2, TNIP1, IGSF1, DNMT3B	80
Cell-To-Cell Signaling and Interaction, Hematological System Development and Function, Immune Cell Trafficking	adhesion	Adhesion of granulocytes	9.5e-08	0	1.278	0.881	ITGAM, HCK, GDF15, SPON2, LGALS1, FLNA, LILRB3, CSF3R, SELL, FGR, ITGB2, CXCL2, SELE, ANXA1, NOS2, SELP, CXCR2, LGALS3, FERMT3, ICAM1, CYBB	21
Cell-To-Cell Signaling and Interaction, Hematological System Development and Function, Immune Cell Trafficking, Inflammatory Response	binding	Binding of neutrophils	9.5e-08	0	1.336	0.966	ITGAM, HCK, GDF15, LILRB3, FLNA, CSF3R, SELL, FGR, ITGB2, CXCL2, SELE, ANXA1, NOS2, SELP, CXCR2, SELPLG, LGALS3, CXCL3, FERMT3, ICAM1, CYBB	21
