category	-log10(pvalue)	zscore	ratio	molecules	direction
Acetyl-CoA Biosynthesis III (from Citrate)	1.04	0	1	ACLY	no direction
Asparagine Biosynthesis I	1.04	0	1	ASNS	no direction
Glutamate Biosynthesis II	1.04	0	1	GLUD1	no direction
Glutamate Degradation X	1.04	0	1	GLUD1	no direction
Glutamine Biosynthesis I	1.04	0	1	GLUL	no direction
Histamine Biosynthesis	1.04	0	1	HDC	no direction
Lanosterol Biosynthesis	1.04	0	1	LSS	no direction
Melatonin Degradation III	1.04	0	1	MPO	no direction
Methylthiopropionate Biosynthesis	1.04	0	1	ADI1	no direction
Sulfite Oxidation IV	1.04	0	1	SUOX	no direction
Apelin Muscle Signaling Pathway	1.04	0	0.211	APLNR, PRKAA2, PRKAG2, SLC2A4	no direction
Cholecystokinin/Gastrin-mediated Signaling	1.03	2.887	0.133	EGFR, FOS, GNA12, IL1B, IL1RN, IL36G, JUN, RAC2, RASD1, RHOBTB1, RHOC, RHOU, RHOV, RND2, RRAS	positive
3-phosphoinositide Biosynthesis	1.03	0.894	0.126	ALPL, CA3, CDC25A, CILP, DUSP1, DUSP10, DUSP28, DUSP5, DUSP8, PAWR, PI4K2B, PIK3R1, PIK3R5, PPFIA2, PPM1H, PPM1K, PPP1R1B, PPP2R5B, SOCS3, SSH3	positive
IL-17A Signaling in Airway Cells	1.02	1.414	0.15	CCL20, CXCL3, IKBKE, JAK3, MAPK13, NFKB2, NFKBIA, PIK3R1, PIK3R5	positive
Apelin Pancreas Signaling Pathway	1.02	-1.134	0.163	APLNR, NFKB2, PIK3R1, PIK3R5, PRKAA2, PRKAG2, PRKAR2B	negative
Bladder Cancer Signaling	1.02	0	0.137	DAPK1, EGFR, FGF1, MMP12, MMP15, MMP19, MMP2, MMP23B, MMP8, PROK1, RASD1, RASSF1, RRAS	no direction
Arginine Degradation VI (Arginase 2 Pathway)	1.01	0	0.333	ARG2, PYCR1	no direction
Pathogenesis of Multiple Sclerosis	1.01	0	0.333	CCR1, CXCL10	no direction
Dermatan Sulfate Biosynthesis	0.996	-1.414	0.154	CHST11, CHST12, CHST3, SULT1B1, SULT1C2, Sult1d1, SULT2A1, XYLT2	negative
Lymphotoxin β Receptor Signaling	0.996	0.816	0.154	IKBKE, NFKB2, NFKBIA, PIK3R1, PIK3R5, RELB, TNFSF14, TRAF4	positive
IL-2 Signaling	0.981	0.378	0.148	FOS, JAK3, JUN, PIK3R1, PIK3R5, RASD1, RRAS, STAT5A, STAT5B	positive
Role of NFAT in Regulation of the Immune Response	0.978	1.147	0.123	BLNK, CABIN1, CD79B, CD86, FCER1G, FCGR1A, FCGR2A, FOS, GNA12, GNA14, GNA15, GNAT1, HLA-A, IKBKE, JUN, NFKB2, NFKBIA, PIK3R1, PIK3R5, RASD1, RRAS	positive
Acute Myeloid Leukemia Signaling	0.968	-1	0.136	CSF2RA, CSF2RB, CSF3R, NFKB2, PIK3R1, PIK3R5, PIM1, RASD1, RRAS, SPI1, STAT5A, STAT5B	negative
Endothelin-1 Signaling	0.968	1.789	0.122	ADCY2, CASP4, CASQ1, FOS, GNA12, GNA14, GNA15, GNAT1, GUCY2C, HMOX1, JUN, MAPK13, NOS2, NOTUM, PIK3R1, PIK3R5, PLA2G7, PLD3, Pld6, RASD1, RRAS, SHC2	positive
Role of Hypercytokinemia/hyperchemokinemia in the Pathogenesis of Influenza	0.962	0	0.179	CCR1, CXCL10, IL1B, IL1RN, IL36G	no direction
D-myo-inositol (1,4,5,6)-Tetrakisphosphate Biosynthesis	0.944	1.213	0.126	ALPL, CA3, CDC25A, CILP, DUSP1, DUSP10, DUSP28, DUSP5, DUSP8, PAWR, PPFIA2, PPM1H, PPM1K, PPP1R1B, PPP2R5B, SOCS3, SSH3	positive
D-myo-inositol (3,4,5,6)-tetrakisphosphate Biosynthesis	0.944	1.213	0.126	ALPL, CA3, CDC25A, CILP, DUSP1, DUSP10, DUSP28, DUSP5, DUSP8, PAWR, PPFIA2, PPM1H, PPM1K, PPP1R1B, PPP2R5B, SOCS3, SSH3	positive
Caveolar-mediated Endocytosis Signaling	0.942	0	0.141	DYRK3, EGFR, FLNA, FLOT1, HLA-A, ITGA2B, ITGA3, ITGA6, ITGAM, ITGB2	no direction
Prolactin Signaling	0.94	-0.333	0.138	CEBPB, FOS, JUN, PIK3R1, PIK3R5, PRLR, RASD1, RRAS, SOCS3, STAT5A, STAT5B	negative
PFKFB4 Signaling Pathway	0.939	1.134	0.156	GPI, HK1, HK3, PFKFB4, PRKAG2, PRKAR2B, TKT	positive
Apoptosis Signaling	0.918	0.302	0.131	BAX, BIRC3, CAPN1, CAPN5, FAS, IKBKE, LMNA, MAP4K4, NFKB2, NFKBIA, RASD1, RRAS, TNFRSF1A	positive
Death Receptor Signaling	0.915	1.732	0.133	ARHGDIB, BIRC3, FAS, IKBKE, LMNA, MAP4K4, NFKB2, NFKBIA, PARP3, TNFRSF10A, TNFRSF1A, TNFRSF21	positive
White Adipose Tissue Browning Pathway	0.915	0	0.126	ADCY2, CACNA1B, CACNB2, CACNB4, CAMP, CEBPB, FCER1G, FGFRL1, LDHB, MAPK13, PPARA, PRKAA2, PRKAG2, PRKAR2B, RARB, THRB	no direction
Regulation Of The Epithelial Mesenchymal Transition By Growth Factors Pathway	0.913	1.964	0.12	EGFR, EGR1, FGF1, FGFRL1, FOS, IKBKE, IL6R, JAK3, JUN, MAPK13, MMP2, NFKB2, NGFR, PDGFA, PIK3R1, PIK3R5, RASD1, RRAS, SNAI2, TNFRSF1A, TNFSF14, VIM	positive
Gα12/13 Signaling	0.893	2.138	0.125	CDH18, F2RL1, F2RL2, GNA12, IKBKE, JUN, LPAR3, MYL12A, MYL12B, MYL4, NFKB2, NFKBIA, PIK3R1, PIK3R5, RASD1, RRAS	positive
ErbB Signaling	0.889	2.111	0.132	AREG, EGFR, ERBB4, FOS, HBEGF, JUN, MAPK13, PAK1, PIK3R1, PIK3R5, RASD1, RRAS	positive
Superpathway of Serine and Glycine Biosynthesis I	0.886	0	0.286	PSAT1, SHMT1	no direction
ErbB2-ErbB3 Signaling	0.885	0.378	0.141	JAK3, JUN, Nrg1, PIK3R1, PIK3R5, RASD1, RRAS, STAT5A, STAT5B	positive
Rac Signaling	0.885	2.53	0.126	ANK1, ARPC1B, CYBB, ITGA3, ITGA6, ITGB2, JUN, NCF1, NCF2, NFKB2, PAK1, PIK3R1, PIK3R5, RASD1, RRAS	positive
Choline Biosynthesis III	0.881	0	0.214	HMOX1, PLD3, Pld6	no direction
Colanic Acid Building Blocks Biosynthesis	0.881	0	0.214	GMDS, GPI, UGDH	no direction
Docosahexaenoic Acid (DHA) Signaling	0.881	0	0.158	BAX, BIK, IL1B, PIK3R1, PIK3R5, PNPLA2	no direction
Breast Cancer Regulation by Stathmin1	0.876	0.775	0.106	ACKR4, ADGRA3, ADGRF1, ADGRG2, ADRA1B, APLNR, ARHGEF5, ARHGEF9, C5AR1, CCR1, CCR2, CCRL2, CELSR1, CMKLR1, CX3CR1, CXCR6, F2RL1, F2RL2, FPR2, FZD1, FZD8, GPR12, GPR155, GPR35, GPR39, GPR55, GPR84, GPRC5A, HCAR2, IGF1, JUN, LPAR3, LTB4R, MAS1, MMP2, NFKB2, P2RY2, P2RY4, P2RY6, PAK1, PIK3R1, PIK3R5, PPP1R3C, PPP2R2B, PPP2R5B, PRKAG2, PRKAR2B, PROK1, PTGIR, RAC2, RASD1, RRAS, S1PR1, SLC52A2, SSTR2, SUCNR1, TUBA8, TUBB3, TUBB6, VIPR1	positive
PKCθ Signaling in T Lymphocytes	0.871	2.673	0.122	CACNA1B, CACNB2, CACNB4, CD86, FCER1G, FOS, HLA-A, IKBKE, JUN, MAP3K6, MAP3K8, NFKB2, NFKBIA, PIK3R1, PIK3R5, RAC2, RASD1, RRAS	positive
G Beta Gamma Signaling	0.863	1.069	0.125	ADCY2, CACNA1B, CACNB2, CACNB4, EGFR, GNA12, GNA14, GNA15, GNAT1, HBEGF, PAK1, PRKAG2, PRKAR2B, RASD1, RRAS	positive
Natural Killer Cell Signaling	0.856	3.578	0.119	COL5A3, FCER1G, FCGR2A, HLA-A, Hspa1b, IL18R1, IL18RAP, JAK3, MAP3K6, MAP3K8, MAPK13, NFKB2, PAK1, PIK3R1, PIK3R5, RAC2, RASD1, RRAS, STAT4, TYROBP	positive
IL-17 Signaling	0.855	0	0.135	CEBPB, CXCL10, JUN, MAPK13, NOS2, PIK3R1, PIK3R5, RASD1, RRAS, TIMP1	no direction
Systemic Lupus Erythematosus In B Cell Signaling Pathway	0.854	1.89	0.114	BLNK, CD79B, CLCF1, FCGR2A, FGR, FOS, FOXO3, HCK, IL1B, IL36G, IL6R, INPP5J, ISG20, JUN, LIF, LILRB3, LILRB4, MAP4K4, NFKB2, PIK3R1, PIK3R5, RAC2, RASD1, RRAS, SHC2, STING1, TNFSF14, TRAF4	positive
3-phosphoinositide Degradation	0.852	1.414	0.121	ALPL, CA3, CDC25A, CILP, DUSP1, DUSP10, DUSP28, DUSP5, DUSP8, INPP5J, PAWR, PPFIA2, PPM1H, PPM1K, PPP1R1B, PPP2R5B, SOCS3, SSH3	positive
PAK Signaling	0.846	1.897	0.127	ITGA3, ITGA6, ITGB2, MYL12A, MYL12B, MYL4, MYLK, PAK1, PDGFA, PIK3R1, PIK3R5, RASD1, RRAS	positive
p38 MAPK Signaling	0.832	1.387	0.125	DUSP1, DUSP10, FAS, IL18RAP, IL1B, IL1R2, IL1RAP, IL1RN, IL36G, IRAK3, MAPK13, MAPKAPK3, MAPT, TNFRSF1A	positive
Neurotrophin/TRK Signaling	0.828	1.134	0.133	FOS, JUN, NGF, NGFR, NTRK2, PIK3R1, PIK3R5, RASD1, RRAS, SORCS1	positive
FAK Signaling	0.823	0	0.126	ARHGAP26, CAPN1, CAPN5, EGFR, ITGA3, ITGA6, ITGB2, PAK1, PIK3R1, PIK3R5, RASD1, RRAS, TLN2	no direction
p53 Signaling	0.815	-0.333	0.128	BAX, COQ8A, DRAM1, FAS, GADD45B, JUN, PERP, PIK3R1, PIK3R5, SNAI2, TNFRSF10A, WT1	negative
Histidine Degradation VI	0.813	0	0.2	CYP26B1, CYP2E1, UROC1	no direction
Apelin Cardiac Fibroblast Signaling Pathway	0.808	-1	0.174	APLNR, PRKAA2, PRKAG2, SERPINE1	negative
April Mediated Signaling	0.803	1.633	0.15	FOS, IKBKE, JUN, MAPK13, NFKB2, NFKBIA	positive
Neuregulin Signaling	0.801	0.333	0.125	AREG, DCN, EGFR, ERBB4, HBEGF, ITGA3, ITGA6, ITGB2, PIK3R1, RASD1, RRAS, STAT5A, STAT5B	positive
Amyloid Processing	0.796	1	0.143	BACE2, CAPN1, CAPN5, MAPK13, MAPT, PRKAG2, PRKAR2B	positive
Phototransduction Pathway	0.796	0	0.143	GNAT1, GNGT2, GUCA2B, GUCY2C, PDE6H, PRKAG2, PRKAR2B	no direction
Mineralocorticoid Biosynthesis	0.787	0	0.25	HSD3B1, HSD3B7	no direction
Superoxide Radicals Degradation	0.787	0	0.25	CAT, SOD3	no direction
T Cell Exhaustion Signaling Pathway	0.785	1.387	0.119	ACVR1B, BATF, CD86, FCER1G, FOS, HAVCR2, HLA-A, IL6R, JAK3, JUN, PIK3R1, PIK3R5, PPP2R2B, PPP2R5B, RASD1, RRAS, STAT4	positive
Estrogen Receptor Signaling	0.782	1.859	0.109	ADCY2, ARG2, EGFR, ESR1, FOS, FOXO3, GNA12, GNA14, GNA15, GNAT1, IGF1, JAK3, JUN, LEPR, MMP12, MMP15, MMP19, MMP2, MMP23B, MMP8, MYL12A, MYL12B, MYL4, NFKB2, NOTUM, PAK1, PIK3R1, PIK3R5, PRKAA2, PRKAG2, PRKAR2B, PROK1, RASD1, RRAS, SHC2	positive
IL-7 Signaling Pathway	0.776	-0.707	0.13	BAX, CDC25A, FOXO3, JAK3, JUN, MAPK13, PIK3R1, PIK3R5, STAT5A, STAT5B	negative
IL-15 Production	0.769	1.604	0.122	BLK, CSF2RA, DDR1, DYRK3, EGFR, EPHB1, ERBB4, FES, FGR, HCK, JAK3, NFKB2, NTRK2, ROR1	positive
B Cell Activating Factor Signaling	0.767	2	0.146	FOS, IKBKE, JUN, MAPK13, NFKB2, NFKBIA	positive
P2Y Purigenic Receptor Signaling Pathway	0.761	1.387	0.12	ADCY2, FOS, ITGA2B, JUN, NFKB2, NOTUM, P2RY2, P2RY4, P2RY6, PIK3R1, PIK3R5, PRKAG2, PRKAR2B, RASD1, RRAS	positive
Gluconeogenesis I	0.759	2	0.167	ALDOA, ALDOC, ENO2, GPI	positive
IL-22 Signaling	0.759	-1	0.167	MAPK13, SOCS3, STAT5A, STAT5B	negative
4-hydroxyproline Degradation I	0.756	0	0.5	ALDH4A1	no direction
Adenine and Adenosine Salvage I	0.756	0	0.5	APRT	no direction
Alanine Biosynthesis II	0.756	0	0.5	GPT2	no direction
Alanine Degradation III	0.756	0	0.5	GPT2	no direction
Fatty Acid Biosynthesis Initiation II	0.756	0	0.5	FASN	no direction
GDP-L-fucose Biosynthesis I (from GDP-D-mannose)	0.756	0	0.5	GMDS	no direction
Glycine Biosynthesis I	0.756	0	0.5	SHMT1	no direction
Glycine Biosynthesis III	0.756	0	0.5	AGXT2	no direction
Glycine Degradation (Creatine Biosynthesis)	0.756	0	0.5	GAMT	no direction
L-glutamine Biosynthesis II (tRNA-dependent)	0.756	0	0.5	GATB	no direction
Palmitate Biosynthesis I (Animals)	0.756	0	0.5	FASN	no direction
Sulfate Activation for Sulfonation	0.756	0	0.5	PAPSS2	no direction
UDP-D-xylose and UDP-D-glucuronate Biosynthesis	0.756	0	0.5	UGDH	no direction
β-alanine Degradation I	0.756	0	0.5	ALDH6A1	no direction
Parkinson's Signaling	0.752	0	0.188	MAPK13, SEPTIN5, SNCA	no direction
Renin-Angiotensin Signaling	0.749	2.309	0.121	ACE, ADCY2, FOS, JUN, MAPK13, NFKB2, PAK1, PIK3R1, PIK3R5, PRKAG2, PRKAR2B, RASD1, RRAS, SHC2	positive
ERK/MAPK Signaling	0.748	0.471	0.113	DUSP1, DUSP9, ELF3, ESR1, FOS, ITGA3, ITGA6, ITGB2, PAK1, PIK3R1, PIK3R5, PPP1R3C, PPP2R2B, PPP2R5B, PRKAG2, PRKAR2B, RAC2, RAPGEF4, RASD1, RRAS, TLN2, YWHAZ	positive
Induction of Apoptosis by HIV1	0.737	0	0.133	BAX, BIRC3, FAS, IKBKE, NFKB2, NFKBIA, NGFR, TNFRSF1A	no direction
PCP pathway	0.737	-0.378	0.133	CELSR1, FZD1, FZD8, JUN, JUNB, JUND, WNT2, WNT5A	negative
Pancreatic Adenocarcinoma Signaling	0.737	1.508	0.121	CDKN2B, CYP2E1, EGFR, HBEGF, HMOX1, JAK3, NFKB2, PIK3R1, PIK3R5, PLD3, Pld6, PROK1, RALGDS	positive
PI3K Signaling in B Lymphocytes	0.736	1.155	0.118	ATF3, BLK, BLNK, CD79B, DAPP1, FOS, FOXO3, IKBKE, JUN, NFKB2, NFKBIA, NOTUM, PIK3R1, PLEKHA4, RASD1, RRAS	positive
UVC-Induced MAPK Signaling	0.733	2.449	0.137	EGFR, FOS, JUN, MAPK13, RASD1, RRAS, SMPD3	positive
Endocannabinoid Neuronal Synapse Pathway	0.723	-0.535	0.118	ADCY2, CACNA1B, CACNB2, CACNB4, GNA14, GNA15, GRIA2, GRIA3, GRIN3B, GRINA, MAPK13, MGLL, NOTUM, PRKAG2, PRKAR2B	negative
GM-CSF Signaling	0.718	0.816	0.129	CSF2RA, CSF2RB, HCK, PIK3R1, PIK3R5, PIM1, RASD1, RRAS, STAT5B	positive
Th1 Pathway	0.717	0.632	0.12	CD86, HAVCR2, HLA-A, ICAM1, ICOSLG/LOC102723996, IL18R1, IL6R, ITGB2, JAK3, PIK3R1, PIK3R5, SOCS3, STAT4	positive
Neuropathic Pain Signaling In Dorsal Horn Neurons	0.705	0	0.121	FOS, GRIA2, GRIA3, GRIN3B, GRINA, KCNN4, NOTUM, NTRK2, PIK3R1, PIK3R5, PRKAG2, PRKAR2B	no direction
CD27 Signaling in Lymphocytes	0.704	2.236	0.135	FOS, IKBKE, JUN, MAP3K6, MAP3K8, NFKB2, NFKBIA	positive
Phospholipase C Signaling	0.703	1.698	0.109	ADCY2, ARHGEF5, ARHGEF9, BLNK, CD79B, FCER1G, FCGR2A, HDAC11, HMOX1, ITGA3, ITGA6, ITGB2, MYL12A, MYL12B, MYL4, NFKB2, PLD3, Pld6, RAC2, RALGDS, RASD1, RHOBTB1, RHOC, RHOU, RHOV, RND2, RRAS	positive
Superpathway of Methionine Degradation	0.702	-2.236	0.147	AHCY, MGMT, MMUT, PCCA, SUOX	negative
Ubiquinol-10 Biosynthesis (Eukaryotic)	0.696	0	0.176	BCKDHA, CYP26B1, CYP2E1	no direction
Ephrin B Signaling	0.693	0.333	0.127	CAP1, CXCL12, EPHB1, GNA12, GNA14, GNA15, GNAT1, PAK1, RAC2	positive
Actin Cytoskeleton Signaling	0.689	1.291	0.11	ARPC1B, CD14, FGF1, FLNA, GNA12, GSN, ITGA3, ITGA6, ITGB2, LBP, MYH10, MYL12A, MYL12B, MYL4, MYLK, PAK1, PDGFA, PIK3R1, PIK3R5, RAC2, RASD1, RRAS, SSH3, TLN2	positive
Eicosanoid Signaling	0.683	2.236	0.129	ALOX5, ALOX5AP, DPEP2, FPR2, GGT1, LTB4R, PLA2G7, PTGIR	positive
Synaptogenesis Signaling Pathway	0.673	1.3	0.107	ADCY2, ARPC1B, CACNA1B, CACNB4, CDH18, DAB1, EIF4EBP3, EPHB1, FGR, GRIA2, GRIA3, GRIN3B, GRINA, HCK, LRP8, MAPT, NTRK2, PAK1, PIK3R1, PIK3R5, PRKAG2, PRKAR2B, RASD1, RELN, RRAS, SHC2, SNCA, STX1B, STXBP2, SYT12, SYT17, SYT9	positive
Regulation of Cellular Mechanics by Calpain Protease	0.669	2.236	0.125	CAPN1, CAPN5, EGFR, ITGA3, ITGA6, ITGB2, RASD1, RRAS, TLN2	positive
Adipogenesis pathway	0.669	0	0.115	CEBPB, CEBPD, EGR2, FABP4, FGF1, FGFRL1, FZD1, FZD8, HDAC11, LPIN1, SLC2A4, SREBF1, STAT5B, TNFRSF1A, WNT5A	no direction
Phagosome Maturation	0.667	0	0.114	ATP6V0A1, ATP6V0E1, CTSD, CTSE, CTSG, Ctsj, CTSZ, CYBB, HLA-A, MPO, NCF1, NCF2, TUBA8, TUBB3, TUBB6, VPS37C	no direction
TWEAK Signaling	0.667	0.447	0.143	BIRC3, IKBKE, NFKB2, NFKBIA, TNFRSF12A	positive
D-myo-inositol-5-phosphate Metabolism	0.665	1.213	0.113	ALPL, CA3, CDC25A, CILP, DUSP1, DUSP10, DUSP28, DUSP5, DUSP8, PAWR, PPFIA2, PPM1H, PPM1K, PPP1R1B, PPP2R5B, SOCS3, SSH3	positive
Thrombopoietin Signaling	0.658	0.378	0.127	FOS, JUN, PIK3R1, PIK3R5, RASD1, RRAS, STAT5A, STAT5B	positive
Maturity Onset Diabetes of Young (MODY) Signaling	0.648	0	0.13	APOA4, APOF, APOL2, BLK, FABP2, FOXA2, NFKB2	no direction
Superpathway of Inositol Phosphate Compounds	0.647	1.091	0.11	ALPL, CA3, CDC25A, CILP, DUSP1, DUSP10, DUSP28, DUSP5, DUSP8, INPP5J, PAWR, PI4K2B, PIK3R1, PIK3R5, PPFIA2, PPM1H, PPM1K, PPP1R1B, PPP2R5B, SOCS3, SSH3	positive
NGF Signaling	0.641	2.111	0.116	BAX, IKBKE, MAP3K6, MAP3K8, NFKB2, NGF, NGFR, PIK3R1, PIK3R5, RASD1, RRAS, SMPD3, TRAF4	positive
Glioblastoma Multiforme Signaling	0.633	0.258	0.111	EGFR, FZD1, FZD8, IGF1, NOTUM, PDGFA, PIK3R1, PIK3R5, RAC2, RASD1, RHOBTB1, RHOC, RHOU, RHOV, RND2, RRAS, WNT2, WNT5A	positive
Dopamine Receptor Signaling	0.624	0	0.122	ADCY2, MAOB, PPP1R1B, PPP1R3C, PPP2R2B, PPP2R5B, PRKAG2, PRKAR2B, SMOX	no direction
Synaptic Long Term Depression	0.619	-0.688	0.109	CACNA1B, CACNB2, CACNB4, GNA12, GNA14, GNA15, GNAT1, GRIA2, GRIA3, GRID1, GUCY2C, IGF1, NOS2, NOTUM, NPR3, PLA2G7, PPP2R2B, PPP2R5B, RASD1, RRAS	negative
FcγRIIB Signaling in B Lymphocytes	0.602	-0.447	0.12	BLNK, CACNA1B, CACNB2, CACNB4, CD79B, PIK3R1, PIK3R5, RASD1, RRAS	negative
Macropinocytosis Signaling	0.602	1	0.12	CD14, ITGB2, NGF, PAK1, PDGFA, PIK3R1, PIK3R5, RASD1, RRAS	positive
Molecular Mechanisms of Cancer	0.602	0	0.103	ADCY2, ARHGEF5, ARHGEF9, BAX, BIRC3, BMP5, CDC25A, CDKN2B, FAS, FOS, FZD1, FZD8, GNA12, GNA14, GNA15, GNAT1, ITGA3, ITGA6, ITGB2, JAK3, JUN, MAPK13, NFKB2, NFKBIA, PAK1, PIK3R1, PIK3R5, PRKAG2, PRKAR2B, RAC2, RALGDS, RASD1, RHOBTB1, RHOC, RHOU, RHOV, RND2, RRAS, WNT2, WNT5A	no direction
Biotin-carboxyl Carrier Protein Assembly	0.6	0	0.333	ACACB	no direction
D-glucuronate Degradation I	0.6	0	0.333	DCXR	no direction
Glutathione Biosynthesis	0.6	0	0.333	GCLC	no direction
L-carnitine Biosynthesis	0.6	0	0.333	BBOX1	no direction
Methylglyoxal Degradation I	0.6	0	0.333	HAGH	no direction
Thymine Degradation	0.6	0	0.333	DPYS	no direction
Thyroid Hormone Biosynthesis	0.6	0	0.333	CTSD	no direction
Uracil Degradation II (Reductive)	0.6	0	0.333	DPYS	no direction
Inflammasome pathway	0.599	0	0.158	IL1B, NFKB2, NLRP3	no direction
The Visual Cycle	0.599	0	0.158	AKR1B10, DHRS9, RDH11	no direction
B Cell Development	0.596	0	0.143	CD79B, CD86, HLA-A, SPN	no direction
Neuroprotective Role of THOP1 in Alzheimer's Disease	0.59	0.707	0.114	ACE, CTSG, F11, HLA-A, HTRA1, MAPT, MME, PRKAG2, PRKAR2B, PRTN3, SERPINA3, TMPRSS2	positive
Paxillin Signaling	0.59	1.134	0.114	ITGA2B, ITGA3, ITGA6, ITGAM, ITGB2, MAPK13, PAK1, PIK3R1, PIK3R5, RASD1, RRAS, TLN2	positive
NF-κB Activation by Viruses	0.581	1.414	0.118	IKBKE, ITGA3, ITGA6, NFKB2, NFKBIA, PIK3R1, PIK3R5, RASD1, RRAS	positive
Ephrin Receptor Signaling	0.579	1.155	0.108	ARPC1B, CXCL12, EPHB1, FGF1, GNA12, GNA14, GNA15, GNAT1, GRIN3B, GRINA, ITGA3, ITGA6, ITGB2, MAP4K4, PAK1, PDGFA, PROK1, RAC2, RASD1, RRAS	positive
B Cell Receptor Signaling	0.577	2.183	0.108	APBB1IP, BLNK, CD79B, DAPP1, EGR1, FCGR2A, IKBKE, INPP5J, JUN, MAP3K6, MAP3K8, MAPK13, NFKB2, NFKBIA, PIK3R1, PIK3R5, RAC2, RASD1, RRAS	positive
GP6 Signaling Pathway	0.572	1.387	0.112	APBB1IP, COL26A1, COL5A2, COL5A3, COL6A2, COL6A6, FCER1G, ITGA2B, LAMA3, LAMA5, LAMB2, PIK3R1, PIK3R5	positive
Glycogen Degradation II	0.571	0	0.182	PGM2, PGM5	no direction
Role of Lipids/Lipid Rafts in the Pathogenesis of Influenza	0.571	0	0.182	FDPS, RSAD2	no direction
Agrin Interactions at Neuromuscular Junction	0.565	1.89	0.119	EGFR, ERBB4, JUN, Nrg1, PAK1, RAC2, RASD1, RRAS	positive
Thyroid Cancer Signaling	0.561	1	0.117	FOS, IGF1, JUN, NGF, NTRK2, PIK3R1, PIK3R5, RASD1, RRAS	positive
HGF Signaling	0.556	2.333	0.111	ELF3, FOS, ITGA3, ITGA6, ITGB2, JUN, MAP3K6, MAP3K8, PAK1, PIK3R1, PIK3R5, RASD1, RRAS	positive
Role of NANOG in Mammalian Embryonic Stem Cell Pluripotency	0.556	1.134	0.111	BMP5, FZD1, FZD8, JAK3, LIF, LIFR, PIK3R1, PIK3R5, RASD1, RRAS, SALL4, WNT2, WNT5A	positive
UVA-Induced MAPK Signaling	0.556	0.447	0.113	EGFR, FOS, JUN, MAPK13, NOTUM, PARP3, PIK3R1, PIK3R5, RASD1, RRAS, SMPD3	positive
Intrinsic Prothrombin Activation Pathway	0.543	-0.447	0.128	COL5A3, F11, F13A1, F13B, KLKB1	negative
SAPK/JNK Signaling	0.539	0.632	0.112	DUSP10, DUSP8, FCER1G, GNA12, JUN, MAP4K4, PIK3R1, PIK3R5, RAC2, RASD1, RRAS	positive
FLT3 Signaling in Hematopoietic Progenitor Cells	0.522	0.707	0.114	MAPK13, PIK3R1, PIK3R5, RASD1, RRAS, STAT4, STAT5A, STAT5B, STAT6	positive
Clathrin-mediated Endocytosis Signaling	0.514	0	0.105	APOA4, APOF, ARPC1B, ARRB2, CLU, FGF1, IGF1, ITGB2, LDLR, LYZ, PDGFA, PIK3R1, PIK3R5, PON1, PROK1, S100A8, SERPINA1, SH3BP4, UBD	no direction
Arsenate Detoxification I (Glutaredoxin)	0.495	0	0.25	AS3MT	no direction
Glutathione Redox Reactions II	0.495	0	0.25	GSR	no direction
Heme Degradation	0.495	0	0.25	HMOX1	no direction
Molybdenum Cofactor Biosynthesis	0.495	0	0.25	MOCS2	no direction
NAD Biosynthesis III	0.495	0	0.25	NAMPT	no direction
Pyruvate Fermentation to Lactate	0.495	0	0.25	LDHB	no direction
dTMP De Novo Biosynthesis	0.495	0	0.25	SHMT1	no direction
Necroptosis Signaling Pathway	0.488	1.291	0.106	BIRC3, CAPN1, CAPN5, CYBB, DAPK1, FAS, GLUD1, GLUL, MLKL, NGFR, NLRP3, RIPK3, TNFRSF10A, TNFRSF1A, TNIP1	positive
BMP signaling pathway	0.486	0.707	0.111	BMP5, FST, JUN, MAPK13, NFKB2, PRKAG2, PRKAR2B, RASD1, RRAS	positive
UVB-Induced MAPK Signaling	0.486	1.633	0.118	EGFR, FOS, JUN, MAPK13, PIK3R1, PIK3R5	positive
Small Cell Lung Cancer Signaling	0.484	0.816	0.113	CDKN2B, IKBKE, NFKB2, NFKBIA, PIK3R1, PIK3R5, RARB, TRAF4	positive
CDP-diacylglycerol Biosynthesis I	0.482	0	0.136	AGPAT4, LPCAT1, LPCAT4	no direction
Tumoricidal Function of Hepatic Natural Killer Cells	0.482	0	0.136	BAX, FAS, ICAM1	no direction
Circadian Rhythm Signaling	0.47	0	0.125	GRIN3B, GRINA, PER1, PER3	no direction
MIF-mediated Glucocorticoid Regulation	0.47	2	0.125	CD14, MIF, NFKB2, NFKBIA	positive
Fatty Acid Activation	0.47	0	0.154	ACSL1, ACSL4	no direction
Glycogen Degradation III	0.47	0	0.154	PGM2, PGM5	no direction
Pregnenolone Biosynthesis	0.47	0	0.154	CYP26B1, CYP2E1	no direction
Regulation Of The Epithelial Mesenchymal Transition In Development Pathway	0.468	-0.707	0.11	FZD1, FZD8, LOX, NFKB2, PYGO1, S100A4, SNAI2, WNT2, WNT5A	negative
Gαi Signaling	0.467	0.905	0.106	ADCY2, APLNR, CXCR2, FPR2, HCAR2, LTB4R, NPR3, PRKAG2, PRKAR2B, RALGDS, RASD1, RRAS, S1PR1	positive
Wnt/Ca+ pathway	0.464	-1.134	0.113	FZD1, FZD8, NFKB2, NOTUM, PDE6H, ROR1, WNT5A	negative
