analysis	regulator	fc	type	state	zscore	Notes	bias	bias_zscore	pvalue	target
ndr_vs_wt_all - 2020-11-20 05:39 PM	UCP1	0	transporter	0	0.848	0	0.055	0.513	2.1e-08	ACOT2, ALDH18A1, ANKRD1, ASNS, BCKDHA, BCKDHB, Cd24a, CD68, CXCL10, CYB5R1, DBT, EMB, ESRRG, G6PD, GDF15, GOLM1, GPX3, GPX4, GSR, GSTZ1, HSD17B7, IL1B, LRRC8D, MTHFD1L, MTHFD2, NUPR1, PCK2, PGD, PHYHD1, PSAT1, PYCR1, SHMT1, SLC6A9, SMOX, SMYD2, SOAT2, SPI1, TRIB3
ndr_vs_wt_all - 2020-11-20 05:39 PM	CISH	-0.033	other	Inhibited	-2.711	0	-0.114	-2.164	2.24e-08	BACH2, CCL3L3, CCRL2, CD14, CLEC4E, CLEC6A, CXCL3, CYP4F2, GUSB, HCAR2, HDC, HILPDA, HMOX1, IL1B, IL36G, MMP8, OLR1, PLAUR, PPP1R15A, Retnlg, RGCC, RHOV, SORL1
ndr_vs_wt_all - 2020-11-20 05:39 PM	SQSTM1	0.104	transcription regulator	0	0.977	0	0.114	0.499	2.53e-08	Ccl7, CXCL10, CXCL2, CYP2A6 (includes others), CYP2B6, GCLC, GSTM5, HBEGF, HMOX1, IL15RA, IL1B, NFKBIA, NOS2, PLAT, RGCC, RSAD2, TSC22D1, UGDH
ndr_vs_wt_all - 2020-11-20 05:39 PM	CEBPE	0.982	transcription regulator	Activated	2.435	0	0.228	1.757	2.59e-08	CAMP, Ccl7, CD14, IL1RN, ITGAM, LCN2, LTF, MMP2, MMP8, NCF1, Retnlg, SELL
ndr_vs_wt_all - 2020-11-20 05:39 PM	RXRA	-0.015	ligand-dependent nuclear receptor	Inhibited	-2.565	0	-0.022	-2.458	3.13e-08	ABCA1, ABCC3, AHCY, ASNS, CCL20, Ccl6, CXCL10, CYP1A2, CYP2B6, FABP4, FASN, FLRT3, GCLC, HBEGF, IGF1, IL1B, LCN2, LYZ, MARCO, MMP12, MMP2, Orm1 (includes others), PDGFA, RARB, S100A4, S100A8, SLC16A2, SLC6A8, SREBF1, VCAN
ndr_vs_wt_all - 2020-11-20 05:39 PM	INSIG2	0.035	other	Inhibited	-2.375	bias	-0.258	-1.57	3.43e-08	ACLY, ELOVL6, FASN, FDFT1, FDPS, G6PD, HMGCR, LDLR, SREBF1, SREBF2
ndr_vs_wt_all - 2020-11-20 05:39 PM	STAT1	-0.13	transcription regulator	0	1.951	0	0.156	1.06	3.68e-08	ABCA1, ACOD1, ALDH1A3, BAX, CASP4, Ccl2, CCL3L3, CCRL2, CD86, CXCL10, CXCL3, CYP1A2, Cyp2d9 (includes others), CYP2E1, EGR1, FAS, GBP6, HTRA1, ICAM1, IFI16, IGF1, Igtp, IL1B, Irgm1, JUN, LCN2, Ly6a (includes others), NOS2, OASL, PDGFA, RORC, RSAD2, Serpina3g (includes others), Slfn1, SLFN12L, Slfn2, SOCS3, SPRR1A, SREBF1, UBD
ndr_vs_wt_all - 2020-11-20 05:39 PM	FOS	2.596	transcription regulator	0	-0.492	0	0.134	-0.788	3.88e-08	ADD2, AKR1D1, ALDH1A3, AQP3, BCAR3, CAT, Ccl7, CFP, CHI3L1, CXCL10, CYP17A1, ELOVL6, ESM1, FABP4, FOS, GM2A, GSR, HMOX1, HSD3B1, HSPB8, IGFBP5, IL36G, IRAK3, ITGA6, JUN, KCNN4, KLF6, LAMA3, LETMD1, LRP8, MAFK, MAP4K4, MMP2, MPZL2, MXD1, MYO5B, NGF, NPTX1, Nrg1, NSDHL, PAOX, S100A8, S100A9, SEMA3B, SLPI, SOCS3, STX11, TPD52, Tpm1, TREM1, VIM, YWHAZ
ndr_vs_wt_all - 2020-11-20 05:39 PM	IL6	0.295	cytokine	Activated	2.524	0	0.117	1.868	4.7e-08	ABCC3, ANXA1, BAX, C5AR1, Ccl2, CCL20, CCL3L3, CD68, CFP, CLDN2, CLU, CXCL2, CXCL3, FOS, GFAP, HP, HPX, ICAM1, IL1RN, ITGAM, JUN, JUNB, LBP, LCN2, LIFR, MMP2, NAMPT, NOS2, Orm1 (includes others), PROK2, RORC, SAA1, Saa3, SERPINA3, SLC40A1, Slco1a4, SOCS3, STAT4, TAL1, TNFRSF1A, TTR
ndr_vs_wt_all - 2020-11-20 05:39 PM	NRAS	0.054	enzyme	0	-0.956	0	-0.162	-0.104	4.82e-08	ADCY2, AKAP12, ANKRD1, BAX, CDKN2B, Crip2, CTSE, CX3CL1, EPHX1, HLA-A, HTRA1, IFI16, IL1RN, Irgm1, ITIH2, LBP, LCN2, NPR3, PERP, PHLDA3, PKIA, Plscr2, PLTP, RBM38, RBPMS, SARDH, SDC1, SLC66A3, VNN1
ndr_vs_wt_all - 2020-11-20 05:39 PM	IL1R1	0.413	transmembrane receptor	0	1.058	0	0.155	0.507	4.86e-08	Ccl2, CCL3L3, Ccl7, CXCL10, CXCL12, CXCL2, CXCL3, FOS, GFAP, ICAM1, IGF1, IL1B, IL1RAP, LBP, MMP2, SAA1, TIMP1
ndr_vs_wt_all - 2020-11-20 05:39 PM	RAC2	0.497	enzyme	0	0	0	0	0	4.86e-08	ALDOA, ANXA1, CAP1, CCL3L3, Cd24a, EGR2, FOS, IL1B, MIF, NR4A1, PKM, S100A6, SLPI, STAT4, TKT, TSC22D1, ZYX
ndr_vs_wt_all - 2020-11-20 05:39 PM	Hbb-b2	0	other	Activated	2.254	bias	0.258	1.199	5.77e-08	Ccl2, Ccl7, CCR2, CLEC7A, CXCL10, CXCR2, CXCR6, CYBA, CYBB, FTL, IL1B, ITGAM, MASP2, Mbl1, NCF2, PRLR, SPI1, TLR2
ndr_vs_wt_all - 2020-11-20 05:39 PM	RETNLB	0	other	0	1.674	bias	0.252	0.445	6.71e-08	Ccl2, CCL3L3, CCN4, CCR1, CCR2, CD86, CTSE, FABP4, FRZB, FZD1, IGF1, IL1B, MAP3K6, MMP12, MMP2, Mup1 (includes others), Nnt, NR4A1, Saa3, TERT, TIMP1, Tlr13, TLR2, WNT5A
ndr_vs_wt_all - 2020-11-20 05:39 PM	ADAMTS12	0.32	peptidase	Inhibited	-3.582	bias	-0.258	-2.657	6.89e-08	ACOD1, ALDH1A3, CHI3L1, CLEC4E, CXCL10, HDC, HPX, LCN2, LGALS1, S100A6, S100A8, S100A9, SELP
ndr_vs_wt_all - 2020-11-20 05:39 PM	CSF3	0	cytokine	0	1.007	0	0.139	0.649	7.73e-08	BATF, BAX, CXCL2, CXCL3, ITGAM, LTF, Ly6a (includes others), LYZ, MMP2, MMP8, PROK2
ndr_vs_wt_all - 2020-11-20 05:39 PM	ATF4	0.245	transcription regulator	0	1.928	0	0.22	0.867	9.54e-08	ABCA1, ABCG5, ABCG8, ANKRD1, AREG, ASNS, ATF3, CEBPB, CSRP3, FASN, GDF15, IGFBP2, IGFBP5, KLF4, LGALS3, MTHFD2, NUPR1, OSMR, PCK2, PSAT1, PYCR1, SEL1L, SLC6A9, SLC7A5, SNAI2, SOAT2, SREBF1, TCEAL5, TNFRSF12A, TRIB3
ndr_vs_wt_all - 2020-11-20 05:39 PM	EGLN	0	group	Inhibited	-3.229	0	-0.237	-2.111	1e-07	A1BG, ADM2, APOA4, ASCL1, Ccl2, CCN5, DMKN, ERFE, GPI, GRHPR, IGFBP1, LCN2, MIF, Mup1 (includes others), Orm1 (includes others), PPP1R3G, S100A9, SAA1, Serpina3g (includes others), SERPINA7, SERPINE1, SLC16A3, TPI1
ndr_vs_wt_all - 2020-11-20 05:39 PM	Map3k7	-0.029	kinase	0	0.936	0	0.187	0.102	1.12e-07	AFP, Ccl2, CCL3L3, Ccl7, CXCL10, CXCL3, EGR2, FASN, HBEGF, IL15RA, IL1B, ISG20, JUN, KRT14, MVK, NFKBIA, NFKBIZ, NGF, PROM1, RSAD2, S100A9, TSC22D1
ndr_vs_wt_all - 2020-11-20 05:39 PM	IFNAR1	-0.015	transmembrane receptor	0	1.564	0	0.163	0.82	1.29e-07	ACOD1, Apol7e (includes others), ATF3, CCL20, CCL3L3, CD86, CLEC4D, CLEC4E, CXCL10, CXCL2, CXCL3, HLA-A, HMGCR, HMGCS1, IDI1, IFI16, IL1B, LIF, Ly6a (includes others), Ms4a4c (includes others), NOS2, OASL, PLA2G7, PLAT, RSAD2, SDC1, SERPINE1, SLFN12L, SOCS3, SQLE, SREBF2, TLR2, TNFAIP3
ndr_vs_wt_all - 2020-11-20 05:39 PM	STING1	0.656	other	Activated	4.123	bias	0.258	3.058	1.29e-07	C15orf48, CD68, CD86, CXCL10, CXCL2, HDC, HOPX, IFI16, Ifi27l2a/Ifi27l2b, IL1B, LCN2, LIF, NOS2, OASL, PLEKHA4, RGS16, RSAD2, Serpina3g (includes others), UPP1
ndr_vs_wt_all - 2020-11-20 05:39 PM	IL2	0	cytokine	Activated	2.046	0	0.151	1.252	1.32e-07	ABCA1, ACVR1B, ADAM8, AHR, ANXA1, AREG, CAPG, CASP4, Ccl2, CCR1, CCR2, CD9, CFP, CXCL10, CXCL3, CXCR6, ENTPD1, GATA1, IL17RB, IL1B, IL1R2, ITGA6, KLF1, LILRB4, LTB4R, Ly6a (includes others), NT5E, OSBPL3, PLAC8, PTGIR, RHOC, SCP2, SELP, SOCS3, STAT5B, TLR2, TNFRSF1A, TNFRSF9, VIM
ndr_vs_wt_all - 2020-11-20 05:39 PM	P38 MAPK	0	group	Activated	2.5	0	0.227	1.475	1.33e-07	ABCA1, ARG2, BAX, CCL3L3, CD86, CXCL3, CYBB, DUSP1, EGR1, FAS, FOS, HMOX1, HTRA1, IL1B, JUN, JUNB, MMP2, NOS2, PLA2G7, SERPINE1, SOCS3, TNFRSF1A, TREM1
ndr_vs_wt_all - 2020-11-20 05:39 PM	SIRT6	0.031	enzyme	Inhibited	-3.104	0	-0.177	-2.555	1.44e-07	AACS, ACSL4, Ccl2, CD68, CIDEC, ELOVL1, ELOVL6, FASN, HMGCR, IGF1, IL1B, IRAK3, LSS, Pld6, PLPP3, SREBF2
ndr_vs_wt_all - 2020-11-20 05:39 PM	TLR9	0.009	transmembrane receptor	Activated	5.044	0	0.188	3.938	1.55e-07	9830107B12Rik/A530064D06Rik, ABCA1, ACOD1, ADAMTS4, ARG2, ATF3, Ccl2, CCL3L3, Ccl7, CD86, CXCL10, CXCL2, CXCL3, DUSP1, EGR1, FAS, GADD45B, HMOX1, ICAM1, IER3, IFI16, IL1B, LCN2, LILRB4, NFKBIZ, NOS2, NR4A1, PROCR, RSAD2, S100A8, Saa3, SDC1, SERPINE1, SGPL1, SMPDL3B, SOCS3, Stfa2/Stfa2l1, Stfa3, TIMP1
ndr_vs_wt_all - 2020-11-20 05:39 PM	IL11RA	-0.148	transmembrane receptor	Activated	2.36	0	0.232	1.668	1.8e-07	Ccl2, CCL20, CCL3L3, Ccl6, Ccl7, CXCL3, DUSP5, FOS, ICAM1, ICAM4, JUNB, MMP12, MMP2, PIM1, SAA1, SELP, SOCS3, TIMP1
ndr_vs_wt_all - 2020-11-20 05:39 PM	ZBTB16	1.27	transcription regulator	0	0.056	0	0	0.056	1.83e-07	BACH2, Ccl2, Ccl7, CCR2, Cd24a, CD83, CD86, Ctla2a/Ctla2b, CXCL10, CXCR6, EGR2, EMB, F13A1, F2RL1, ICOSLG/LOC102723996, IL17RB, IL18R1, IL18RAP, IRF6, LTB4R, Ly6a (includes others), NFKBIZ, RORC, SELL, SELP, TMEM176B, TSC22D1, TSC22D3, ZBTB16
ndr_vs_wt_all - 2020-11-20 05:39 PM	CARD9	1.527	other	Activated	2.517	0	0.187	1.848	2.06e-07	C5AR1, Ccl2, CCR1, CLEC4E, CLEC6A, CLEC7A, CXCL10, CXCL2, CXCL3, FCGR1A, IL1B, MPO, NPTX1, TLR2
ndr_vs_wt_all - 2020-11-20 05:39 PM	KITLG	-0.044	growth factor	0	1.144	0	0.141	0.778	2.06e-07	Ccl2, CD14, CD68, CSF3R, CXCL12, EGR1, ELANE, FOS, HCK, IL1B, LTF, MPO, PIM1, PRTN3
ndr_vs_wt_all - 2020-11-20 05:39 PM	PSMB11	0	peptidase	Inhibited	-4.147	0	-0.208	-3.009	2.11e-07	Abi3bp, ADCY2, Ccl2, Ccl7, CLDN2, CLDN23, CLDN4, CLDN7, COL5A3, COL6A2, CXCL12, CXCL3, GADD45B, GFAP, HMOX1, HPSE, Hspa1b, IL18R1, ITGAM, LAMB2, LGALS3, LIFR, NCF1, NR4A1, PIK3R5, Pvr, S1PR1, TNFRSF11A, TNFRSF12A, TNFRSF21, VCAN
ndr_vs_wt_all - 2020-11-20 05:39 PM	KCNK9	0	ion channel	0	0.57	0	-0.065	0.827	2.2e-07	CA1, Cldn13, CTSE, GADD45B, Gypa, HEMGN, HP, HSD3B1, KEL, LCN2, Nnt, RHAG, RHCE/RHD, SLC16A3, SSTR2, TM4SF4
ndr_vs_wt_all - 2020-11-20 05:39 PM	BSCL2	-0.071	other	0	0	0	0	0	2.22e-07	ACSL1, ANKRD1, Ccl2, Ccl7, CIDEC, CLEC5A, CYP2E1, FABP4, GRIA2, IER3, IGFBP5, LPIN1, MGLL, MRAP, NOS2, PNPLA2, RSAD2, SLC2A4, SLPI, SUCNR1, TIMP1
ndr_vs_wt_all - 2020-11-20 05:39 PM	EGR1	1.007	transcription regulator	Activated	4.118	0	0.197	3.234	2.29e-07	BAX, Ccl2, CCL3L3, Ccl7, CXCL2, CXCL3, CYP17A1, FAS, FTL, HMOX1, ICAM1, IL1B, ITGAM, JUN, JUNB, JUND, LYZ, MXD1, PDGFA, PNPLA2, SERPINE1, SQLE, TIMP1
ndr_vs_wt_all - 2020-11-20 05:39 PM	ESR2	0	ligand-dependent nuclear receptor	0	1.866	0	0.014	1.782	2.39e-07	AK7, AKAP12, ANK1, CADM3, CES1, CLU, CYP17A1, DNAH11, EMB, ESR1, FDPS, FOS, FOXO3, GATA1, GGCT, GM2A, GPX3, HMGCS1, HPGD, HSD17B7, IGF1, IL1B, KLF4, KRT14, KRT8, LMNA, LRRN3, MMP2, NOS2, PDGFA, PERP, PROM1, RELN, RORC, SCUBE1, SOCS3, SRXN1, TIMP1
ndr_vs_wt_all - 2020-11-20 05:39 PM	LDLR	0.464	transporter	Inhibited	-2.846	0	-0.073	-2.639	2.39e-07	ABCA1, ACLY, Ccl2, CCL3L3, Ccl7, CCR1, CCR2, CD68, CLEC4E, CX3CL1, CX3CR1, DHRS9, DUSP1, EGR1, ELOVL6, FASN, FCGR1A, FDPS, FPR2, G6PD, GNGT2, HMGCR, ICAM1, IER3, IL1B, IL1RN, LCN2, LYZ, MFGE8, MIF, MMP2, MPO, MVD, PLTP, PPARA, PPP1R15A, RGS1, SELE, Serpinb6b, SIGLEC9, SREBF1, TNFSF14, VCAN, VIPR1
ndr_vs_wt_all - 2020-11-20 05:39 PM	PPARD	-0.385	ligand-dependent nuclear receptor	0	-1.454	0	0.089	-1.998	2.5e-07	ANGPTL4, APOA4, AQP7, ASIC5, BDH1, C11orf86, Ccl2, CCL3L3, CD68, CLEC7A, CPT1B, CPT2, CYB561A3, CYP2B6, FABP4, FAM131C, FASN, HMGCS2, ICAM1, IKBKE, IL1B, Irgm1, KYAT1, LDHB, MFGE8, MMD2, MPEG1, NOS2, Pcp4l1, PCSK9, PDK4, PER3, PKM, PNPLA2, S100A6, SERINC2, TMEM120A, TNFRSF12A, ZBED5
ndr_vs_wt_all - 2020-11-20 05:39 PM	PEX5L	0.135	ion channel	Inhibited	-2.97	0	-0.215	-2.331	2.65e-07	DHCR7, FDFT1, FDPS, HMGCR, IDI1, LSS, MVK, PMVK, SREBF2
ndr_vs_wt_all - 2020-11-20 05:39 PM	TNFSF12	0.018	cytokine	Activated	4.216	0	0.084	3.82	2.98e-07	ADAM8, Ccl2, CCL3L3, Ccl7, CCR1, CD68, CLEC4D, CLEC4E, CSF2RA, CXCL10, CXCL2, CXCL3, IL1B, IL1R2, ITGAM, MMP12, NCF4, NFKB2, NFKBIA, S100A8, S100A9, SLC2A4, TIMP1
ndr_vs_wt_all - 2020-11-20 05:39 PM	LGR4	-0.173	transmembrane receptor	Inhibited	-3.212	0	0.081	-3.51	3.36e-07	AHR, CD14, CXCL10, CYP1A2, CYP2E1, GLUL, HSD17B13, IL1B, LECT2, SLC13A3, SLC16A10, SLC1A2, SLC22A1, WNT5A
ndr_vs_wt_all - 2020-11-20 05:39 PM	PPIF	0.107	enzyme	0	1.095	0	0.014	1.026	3.52e-07	ACKR4, ARHGAP22, Ccl2, CCL20, Ccl6, Ccl7, CCR1, CCR2, CCRL2, CMKLR1, CSRP1, CX3CL1, CX3CR1, CXCL10, CXCL12, CXCL2, CXCL3, CXCR2, CXCR6, LIF, LRRC8D, MMP2, PDK4, PDZRN3, SPON2, WNT5A
ndr_vs_wt_all - 2020-11-20 05:39 PM	IL17RA	0.177	transmembrane receptor	Activated	2.869	0	0.201	2.181	3.79e-07	Ccl2, CCR1, CSF3R, CXCL12, CXCL2, CXCL3, CXCR2, IL1B, S100A8, S100A9, SELE, SELP, TIMP1
ndr_vs_wt_all - 2020-11-20 05:39 PM	IRS1	-0.172	enzyme	0	1.394	0	0.104	0.993	4.17e-07	CCN4, CDKN2B, Ceacam10, CEBPB, CEBPD, CIDEA, COX7A1, EGR1, FABP4, FASN, FMO1, FOS, FST, HMGCR, HMOX1, IGF1, IGFBP1, KLF4, LDLR, MYL4, PDGFA, PIK3R1, PLPP3, RHOU, SLC2A4, SREBF1, SREBF2, TRIB3, WNT5A
ndr_vs_wt_all - 2020-11-20 05:39 PM	ABCA1	-0.617	transporter	0	-1.282	0	-0.082	-0.985	4.86e-07	ANXA1, Ccl2, CCL3L3, CXCL3, CYP51A1, DGAT2, FDFT1, HMGCR, IL1B, LDLR, NAMPT, NOS2, SELP, SLC2A4, SREBF1, SREBF2
ndr_vs_wt_all - 2020-11-20 05:39 PM	NR5A2	-0.008	ligand-dependent nuclear receptor	0	1.243	0	0.129	0.667	4.96e-07	ABCB4, ABCC3, ABCG5, ABCG8, BAAT, C5AR1, Ccl7, CEBPB, CEBPD, CFP, CXCL10, FOS, FOXA2, GPT2, HP, Hspa1b, ICAM1, IGFBP1, IL1B, IL1RN, JUN, JUNB, Mt1
ndr_vs_wt_all - 2020-11-20 05:39 PM	RELA	0.351	transcription regulator	Activated	3.106	0	0.225	2.079	5.29e-07	AFP, AHR, CAMP, Ccl2, CCL20, CD14, CXCL10, CXCL2, CXCL3, CYBB, FAS, FOS, Gstm3, HMOX1, ICAM1, IL1B, JUN, KRT18, KRT8, NFKBIA, NOS2, NR4A1, RORC, SAA1, Saa3, Tlr13, TLR2, TREM1
ndr_vs_wt_all - 2020-11-20 05:39 PM	CREM	0.022	transcription regulator	Activated	3.696	0	0.209	2.922	5.43e-07	ABCA1, ACE, ATF3, BTG2, CEBPB, CSRNP1, CYP51A1, EGR1, EGR2, FOS, GADD45B, HMGCR, HMGCS1, IDI1, JUNB, LDLR, LSS, MNS1, MSMO1, MVK, NPC2, NR4A1, PER1, PPP1R15A, Tpm1
ndr_vs_wt_all - 2020-11-20 05:39 PM	Gm35986	0	other	Inhibited	-2.425	bias	-0.258	-1.799	6.54e-07	FDFT1, HMGCR, HMGCS1, IDI1, MVK, SREBF2
ndr_vs_wt_all - 2020-11-20 05:39 PM	FCGR2A	0.61	transmembrane receptor	Activated	3.268	0	0.234	2.504	6.57e-07	ACOD1, Ccl2, CLEC4E, CXCL10, CXCL2, CXCL3, GPR84, ICAM1, IL1B, NOS2, SLC2A6
ndr_vs_wt_all - 2020-11-20 05:39 PM	S100A8	1.363	other	Inhibited	-2.052	0	-0.122	-1.693	6.57e-07	ARG2, Ccl2, CXCL10, CXCL2, CXCL3, HMOX1, ICAM1, IL1B, NFKBIA, NOS2, Saa3
ndr_vs_wt_all - 2020-11-20 05:39 PM	RXRB	-0.023	ligand-dependent nuclear receptor	0	0	0	0	0	7.07e-07	CCL20, CXCL10, FLRT3, HBEGF, IGF1, IL1B, LCN2, LYZ, MARCO, MMP12, MMP2, PDGFA, S100A4, S100A8, SLC6A8, VCAN
ndr_vs_wt_all - 2020-11-20 05:39 PM	OSM	0.708	cytokine	Activated	3.2	0	0.178	2.431	7.85e-07	BCL3, CASP4, Ccl2, CCL20, CXCL2, FASN, FOS, HP, IL1B, JUNB, LRG1, MMP8, OSMR, SBNO2, SELE, SELP, SOCS3, TAL1, TIMP1, ZFP36
ndr_vs_wt_all - 2020-11-20 05:39 PM	ABCB4	1.133	transporter	Inhibited	-2.302	0	-0.239	-1.515	1.01e-06	ABCD2, AFP, Ccl2, CCL20, CXCL10, ELF3, LGALS3, MMP2, NFKB2, PDGFA, PROM1, SERPINE1, TIMP1
ndr_vs_wt_all - 2020-11-20 05:39 PM	FDFT1	0.93	enzyme	Inhibited	-3.148	0	0.086	-3.418	1.06e-06	ABCA1, ABCG5, ABCG8, FASN, FDPS, HMGCR, PCSK9, SQLE, SREBF1, SREBF2
ndr_vs_wt_all - 2020-11-20 05:39 PM	NR1H4	-0.273	ligand-dependent nuclear receptor	0	-0.741	0	-0.042	-0.545	1.16e-06	ABCB4, ABCC3, ABCG5, ABCG8, Akr1b7, Ccl2, CEBPB, Cyp2b13/Cyp2b9, CYP2B6, FABP2, FABP7, FASN, Gstm3, GSTM5, IL1B, ITGAM, LCN2, LDLR, MMP2, NOS2, Orm1 (includes others), PLTP, PON1, S1PR1, SLC51B, SREBF1, SREBF2, TIMP1
ndr_vs_wt_all - 2020-11-20 05:39 PM	CLOCK	-0.19	transcription regulator	0	0	0	0	0	1.2e-06	ABCB10, ACSL4, ANGPTL4, BPHL, CA1, CBR1, CD86, CHST3, CYP51A1, DUSP8, EGFR, ELOVL6, FASN, FKBP5, GADD45B, GALNT11, Gm12854/S100a11, HSF2, Hspa1b, ICAM1, IKBKE, IL18BP, JUNB, LPIN1, PER1, PPARA, SEL1L, SLC1A2, SLC20A1, ST6GALNAC4, TNFRSF21, TSPAN4
ndr_vs_wt_all - 2020-11-20 05:39 PM	TRPV4	0.512	ion channel	Activated	2.751	0	0.211	2.057	1.2e-06	Ccl2, CCL3L3, Ccl7, CXCL10, CXCL2, FAS, FOS, Saa3, SOCS3, TIMP1, TLR2
ndr_vs_wt_all - 2020-11-20 05:39 PM	CTNNB1	-0.015	transcription regulator	0	0.699	0	0.163	-0.328	1.28e-06	ACAT2, AFP, ALDH1A3, ANXA1, AQP4, ASCL1, C6, CA3, Cd52, Cdkn1c, CDKN2B, CELSR1, CIDEC, CLDN2, CPT1B, CREG1, CTSZ, CX3CL1, CXCL12, CYP1A2, CYP1B1, CYP2A6 (includes others), Cyp2d9 (includes others), CYP2E1, CYP51A1, DGAT2, EGFR, EGR1, FABP4, FAS, FASN, FCER1G, FOXA2, GADD45B, GFAP, GHR, GLUL, HMGCR, HMGCS1, IDI1, IGFBP5, IL1B, JUN, LECT2, MFGE8, MMP15, MMP2, MMP23B, MPEG1, Mup1 (includes others), MYL4, MYLK, NGFR, NPTX1, NR6A1, PHLDA2, PKM, PLIN3, RAI14, RGN, S100A8, Saa3, SNAI2, SOX5, SPRY4, TIMP1, TRAF4, TRUB1, TSC22D1, VCAN, WIF1, WT1
ndr_vs_wt_all - 2020-11-20 05:39 PM	NFATC2	0.302	transcription regulator	0	1.149	0	0.092	0.719	1.42e-06	ABCA1, BATF, CASP4, Ccl2, CCL3L3, CD83, CD86, CX3CL1, CX3CR1, CXCL10, CXCL2, CXCL3, EGR2, FAS, IER3, IL1B, ISG20, JUN, NFKBIA, NFKBIZ, OASL, PLAT, RELB, RGS1, RORC, RSAD2, SLCO3A1, SLFN12L, SOCS3, STAT5A, TLR2, TSC22D1
ndr_vs_wt_all - 2020-11-20 05:39 PM	LGALS3	1.858	other	Activated	2.523	0	0.075	2.225	1.44e-06	Ccl2, CCL3L3, CCR1, CCR2, CEBPB, FABP4, FAS, FASN, ICAM1, IGF1, ITGAM, NOS2, PNPLA2, SAA1, SELE, SOCS3
ndr_vs_wt_all - 2020-11-20 05:39 PM	CXCL2	2.354	cytokine	Activated	2.781	bias	0.258	2.063	1.56e-06	Ccl2, CCL3L3, CXCL10, CXCL2, CXCL3, CXCR2, ICAM1, IL1B, ITGAM
ndr_vs_wt_all - 2020-11-20 05:39 PM	GSR	0.49	enzyme	Inhibited	-2.138	0	-0.201	-1.387	1.89e-06	ABCC3, ACOX2, CBR1, CYP2B6, GCLC, Gstm3, GSTM5, HMOX1, LPIN1, MGST3, PGD, SRXN1, TKT, UGDH
ndr_vs_wt_all - 2020-11-20 05:39 PM	TXNRD1	0.653	enzyme	Inhibited	-2.168	0	-0.201	-1.419	1.89e-06	ABCC3, ACOX2, CBR1, CYP2B6, GCLC, Gstm3, GSTM5, HMOX1, LPIN1, MGST3, PGD, SRXN1, TKT, UGDH
ndr_vs_wt_all - 2020-11-20 05:39 PM	SMARCB1	0.034	transcription regulator	0	-0.385	0	0.238	-1.39	1.91e-06	ACAT1, ACSL1, CA5A, Cyp2d26, Cyp2d9 (includes others), CYP2E1, CYP39A1, Cyp3a25 (includes others), CYP3A7, CYP4F8, DAPK1, F11, FABP4, FAS, GSN, HP, IGFBP2, LBP, Mup1 (includes others), PGLYRP1, PPP1R3C
ndr_vs_wt_all - 2020-11-20 05:39 PM	PTX3	0	other	0	-1.731	0	-0.199	-1.047	1.92e-06	Ccl2, CCL3L3, Ccl7, CCR2, CX3CR1, CXCL2, EGR2, FOS, IGF1, IL1B, JUN, TLR2
ndr_vs_wt_all - 2020-11-20 05:39 PM	MAPK9	-0.35	kinase	Activated	2.658	0	0.126	2.145	1.98e-06	BAX, Ccl2, Ccl7, CEBPB, EGR1, FOS, HDC, IGFBP2, IL15RA, IL1B, ISG20, JUN, JUNB, JUND, KLF6, LIF, MIF, PLAT, SELPLG, SERPINA1, SLFN12L, SOD3, TNFAIP3, ZFP36, ZYX
ndr_vs_wt_all - 2020-11-20 05:39 PM	SP1	-0.029	transcription regulator	0	0	0	0.213	-0.517	1.98e-06	ABCA1, AKAP12, Akr1b7, ALPL, Ccl2, CRYBB3, CXCL3, CYP2B6, EPOR, GHR, HMGCR, Hspa1b, IRAK3, KLF1, KLF4, MYLK, PRKAR2B, PTDSS1, SELL, SLC11A1, SLC2A3, SREBF1, TERT, TLR2, VWF
ndr_vs_wt_all - 2020-11-20 05:39 PM	PLA2G4A	0.219	enzyme	Activated	2.138	0	0.215	1.532	1.98e-06	ANXA5, Ccl2, CX3CL1, GSTM5, ICAM1, KRT18, NOS2, SCP2
ndr_vs_wt_all - 2020-11-20 05:39 PM	PLAU	-0.03	peptidase	0	0.188	0	0.057	-0.027	2.02e-06	Ccl2, CXCL3, EGFR, FCGR1A, GDF15, IGFBP2, IL1B, MMP12, PLAUR, PLK3, RELB, S100A8, S100A9, SERPINB1, SLPI
ndr_vs_wt_all - 2020-11-20 05:39 PM	JUN	2.078	transcription regulator	0	1.05	0	0.107	0.655	2.25e-06	BAX, C5AR1, Ccl2, Ccl7, CFP, Clca3a1/Clca3a2, CXCL10, CYP17A1, FABP4, FABP7, FRZB, GCLC, IFI16, IGFBP2, IGFBP3, IL1B, IRAK3, ITGAM, JUN, LIF, MBP, MMP12, MMP2, NGF, NOS2, SOCS3, SPRR1A, VIM, WNT5A
